Temperature ,Cu Dose (mol%),Concentration (ppm),Response
280,1.33,70.61,121.62
240,1.98,15.51,169.43
120,2.79,96.33,286.55
240,2.51,19.18,182.34
240,2.51,50.41,197.66
120,1.58,39.39,232.21
120,4.0,87.14,275.67
280,2.99,90.82,167.22
240,2.18,98.16,215.07
200,3.88,88.98,325.77
200,3.64,52.24,309.74
280,1.13,92.65,127.46
120,1.01,92.65,244.61
240,3.84,46.73,196.94
240,2.67,28.37,189.87
200,3.76,48.57,306.85
200,2.02,43.06,291.89
160,0.89,81.63,260.1
120,1.74,52.24,242.02
280,0.97,88.98,121.87
120,2.99,68.78,276.27
120,0.81,74.29,230.2
200,0.12,63.27,252.94
200,2.34,35.71,295.15
120,0.97,61.43,228.08
280,3.23,44.9,142.32
240,2.18,52.24,192.17
120,2.22,22.86,237.89
240,0.0,66.94,143.57
200,1.33,88.98,299.06
160,2.55,37.55,275.93
240,2.22,37.55,185.71
160,3.11,88.98,309.39
120,3.27,65.1,271.68
160,2.91,65.1,296.91
200,3.47,24.69,297.68
240,3.47,22.86,188.52
240,0.48,88.98,168.25
160,0.61,35.71,229.51
160,1.17,54.08,253.66
200,2.18,15.51,281.81
120,2.26,79.8,267.59
200,2.3,61.43,307.32
120,2.06,87.14,266.9
240,2.75,65.1,209.97
120,3.64,24.69,248.23
200,1.58,63.27,291.98
280,0.77,52.24,98.03
240,1.82,61.43,188.53
240,2.18,50.41,190.97
160,1.49,55.92,262.66
200,2.18,100.0,323.92
280,3.96,57.76,140.87
160,2.59,39.39,278.1
240,0.81,94.49,180.19
120,3.96,17.35,240.75
160,0.57,55.92,238.6
280,3.92,50.41,137.77
200,3.27,72.45,323.4
120,0.89,79.8,234.95
160,2.99,50.41,291.24
200,0.08,79.8,260.23
120,2.75,50.41,262.56
200,0.08,10.0,225.0
160,1.62,55.92,265.1
160,2.99,61.43,296.13
200,1.01,44.9,268.8
160,1.7,52.24,265.32
160,0.48,37.55,226.92
120,1.13,65.1,233.7
200,3.27,52.24,313.52
280,3.6,68.78,150.12
120,0.77,15.51,199.5
120,0.61,32.04,203.56
160,1.25,79.8,268.54
240,2.75,50.41,202.64
200,0.44,43.06,252.28
120,0.73,66.94,224.33
160,2.38,57.76,282.74
160,2.87,85.31,305.99
120,0.48,90.82,229.18
200,1.17,92.65,296.5
160,1.13,98.16,274.57
160,0.77,90.82,261.51
280,3.88,96.33,161.85
120,1.21,28.37,217.62
240,2.99,70.61,217.23
240,3.8,41.22,194.49
160,2.42,11.84,261.03
200,0.12,37.55,240.16
160,2.02,11.84,252.36
160,1.29,17.35,238.47
200,3.52,90.82,330.13
120,3.19,44.9,262.47
280,3.31,21.02,129.18
280,1.58,44.9,114.95
120,0.28,74.29,215.24
160,1.41,70.61,267.93
160,3.88,32.04,273.17
160,2.46,30.2,270.63
120,0.04,96.33,219.56
240,0.77,68.78,166.45
240,1.13,94.49,188.67
280,1.09,72.45,116.32
120,1.25,59.59,234.25
200,0.97,52.24,271.51
120,3.27,19.18,248.76
240,1.09,48.57,164.86
120,2.06,92.65,269.81
280,2.71,35.71,134.36
200,1.98,44.9,291.71
200,1.94,88.98,313.44
200,2.42,72.45,315.62
120,3.52,43.06,258.15
280,2.83,76.12,156.6
280,3.52,55.92,144.63
240,0.73,85.31,173.36
160,2.14,21.02,259.63
280,2.22,92.65,152.91
160,2.91,57.76,293.38
280,3.6,10.0,120.91
280,1.82,44.9,120.6
280,3.23,43.06,141.55
240,0.85,46.73,157.61
160,1.82,30.2,257.0
160,1.09,74.29,261.32
160,0.16,50.41,223.75
200,0.0,81.63,258.81
160,1.29,70.61,264.52
160,1.66,87.14,281.9
200,2.51,37.55,299.42
120,1.94,74.29,258.02
200,1.74,44.9,286.62
200,1.33,61.43,284.89
120,2.75,46.73,260.55
120,2.99,32.04,257.99
200,2.26,66.94,309.32
240,1.05,65.1,172.08
280,1.05,65.1,111.54
240,0.36,96.33,168.74
280,1.05,92.65,125.65
160,1.49,32.04,250.7
160,3.68,46.73,282.67
240,1.7,79.8,194.88
280,4.0,44.9,134.29
280,3.64,72.45,151.84
280,2.79,66.94,151.48
280,0.04,17.35,60.2
240,0.77,98.16,180.75
280,3.72,24.69,127.17
280,1.78,81.63,137.78
280,2.38,77.96,149.27
280,0.12,19.18,63.14
160,1.33,70.61,265.45
120,1.62,26.53,226.49
280,1.9,43.06,121.44
160,2.46,98.16,304.86
200,3.35,94.49,333.76
160,1.45,68.78,267.69
160,2.51,74.29,293.62
160,2.79,85.31,304.91
280,3.84,32.04,130.04
240,3.56,17.35,185.6
200,3.64,48.57,307.73
160,0.2,87.14,243.38
200,1.33,59.59,284.51
200,0.24,74.29,262.16
160,1.94,17.35,253.14
280,2.38,79.8,150.27
280,2.87,30.2,134.77
120,1.09,19.18,209.84
160,0.44,77.96,245.79
280,0.2,92.65,102.4
240,3.47,15.51,184.98
120,1.9,17.35,228.65
160,0.85,65.1,250.58
200,2.95,98.16,338.24
240,1.41,65.1,181.26
120,1.49,55.92,238.21
280,2.3,30.2,124.01
200,1.54,77.96,298.51
160,1.94,83.47,286.27
160,1.58,85.31,278.58
160,3.92,24.69,269.29
200,2.79,59.59,315.71
160,0.53,46.73,232.74
200,0.36,55.92,256.54
160,1.37,44.9,253.82
200,2.63,74.29,320.06
240,0.48,15.51,132.14
240,0.89,28.37,149.3
120,3.47,39.39,257.0
160,1.29,33.88,246.18
240,0.28,85.31,161.01
200,3.35,98.16,335.44
160,2.71,55.92,288.3
240,0.73,66.94,164.31
280,2.46,57.76,140.66
120,0.48,72.45,220.39
240,3.07,96.33,229.51
200,2.3,10.0,281.34
120,3.31,74.29,276.0
280,1.49,30.2,105.49
280,3.27,54.08,146.63
160,3.76,28.37,272.66
160,1.66,54.08,265.3
160,2.46,33.88,272.64
120,2.83,19.18,248.49
240,3.76,72.45,210.49
280,0.65,30.2,83.52
280,3.64,41.22,136.32
280,3.43,68.78,151.95
160,1.09,85.31,266.79
160,0.0,11.84,199.88
280,1.78,87.14,140.76
160,0.61,87.14,254.96
160,1.41,22.86,243.94
200,1.74,21.02,274.86
280,1.21,92.65,129.84
120,2.71,63.27,268.5
120,3.23,87.14,283.43
280,3.84,19.18,123.23
160,2.55,87.14,300.89
240,1.45,66.94,182.59
160,2.22,19.18,260.43
200,1.41,61.43,287.15
280,1.86,15.51,106.4
280,0.2,100.0,105.82
200,1.13,63.27,280.86
160,2.02,94.49,293.84
200,0.08,65.1,253.06
120,0.0,35.71,187.8
160,0.4,83.47,247.89
280,0.04,28.37,65.32
160,2.63,92.65,305.02
120,0.44,32.04,198.99
120,3.35,100.0,288.41
200,0.4,41.22,249.9
280,0.36,50.41,85.9
200,2.02,50.41,295.54
120,1.94,32.04,237.12
200,3.31,33.88,303.27
120,3.56,30.2,251.51
240,0.08,46.73,135.85
240,2.02,13.67,169.58
280,2.14,81.63,145.86
200,2.83,87.14,330.41
280,1.17,66.94,115.93
120,0.57,94.49,233.61
280,0.16,81.63,95.49
240,3.23,48.57,203.82
280,0.81,46.73,96.34
240,1.62,24.69,165.4
240,3.76,10.0,179.3
200,3.07,79.8,329.14
160,1.21,17.35,236.42
280,2.34,10.0,114.23
240,0.61,79.8,167.52
120,3.19,98.16,289.1
120,3.56,39.39,256.2
160,0.61,39.39,231.37
280,2.95,22.86,132.53
120,2.38,13.67,236.68
160,3.19,92.65,310.29
240,2.79,52.24,204.21
240,0.89,17.35,143.57
120,3.27,87.14,282.83
160,1.74,87.14,283.44
160,2.87,50.41,289.0
280,3.64,15.51,123.5
240,1.9,39.39,179.29
120,2.87,65.1,272.06
160,1.45,43.06,254.92
160,0.0,66.94,227.47
280,1.37,35.71,105.33
120,3.47,68.78,271.64
160,3.52,22.86,272.31
280,0.57,59.59,96.44
200,3.15,94.49,335.55
280,2.67,65.1,148.36
240,2.79,41.22,198.95
240,0.36,94.49,168.11
200,1.94,24.69,280.71
280,0.57,10.0,71.56
160,2.38,17.35,263.28
120,3.88,48.57,257.18
280,2.38,90.82,155.72
240,0.77,30.2,147.11
120,3.96,39.39,252.32
280,0.69,68.78,104.31
240,3.6,44.9,198.46
120,1.21,76.12,241.32
200,2.91,30.2,303.22
160,0.2,100.0,249.59
200,2.63,90.82,328.25
200,2.71,87.14,328.08
160,1.78,76.12,278.85
200,3.96,96.33,328.65
120,0.0,44.9,192.15
280,1.54,61.43,121.97
160,0.89,21.02,229.59
280,1.05,32.04,95.36
200,1.49,13.67,264.88
200,3.23,85.31,330.28
280,0.0,96.33,98.05
160,0.36,54.08,231.73
160,3.56,55.92,288.37
200,0.12,54.08,248.79
280,1.21,41.22,103.9
240,1.41,11.84,154.6
200,2.14,79.8,313.13
200,3.76,83.47,324.27
240,2.71,32.04,192.98
160,2.06,68.78,281.52
200,1.49,19.18,267.68
120,0.85,46.73,217.26
240,2.51,30.2,187.6
160,3.19,77.96,303.22
160,2.95,21.02,275.57
200,3.31,72.45,323.0
160,1.62,79.8,277.14
240,2.02,98.16,211.27
280,1.29,37.55,104.3
280,0.36,44.9,83.44
280,2.06,41.22,123.61
240,0.04,81.63,151.97
240,0.73,65.1,163.24
120,1.9,63.27,251.5
240,3.03,83.47,223.47
240,3.07,83.47,222.89
120,3.88,72.45,268.93
160,3.43,77.96,300.36
280,3.6,55.92,144.07
160,2.22,90.82,295.95
240,2.26,72.45,203.81
160,3.96,10.0,261.43
160,3.47,76.12,298.9
200,1.58,44.9,282.7
280,3.84,94.49,160.89
280,1.33,57.76,115.47
200,2.42,85.31,321.7
240,0.2,68.78,150.47
200,3.84,46.73,305.2
280,0.73,94.49,118.08
280,0.89,26.53,88.45
160,2.99,57.76,294.66
280,1.49,21.02,100.96
120,2.46,88.98,276.25
160,3.19,96.33,312.3
280,3.64,61.43,146.1
160,3.31,96.33,310.95
160,3.6,87.14,303.22
120,2.34,54.08,256.19
280,0.16,70.61,90.16
120,1.86,46.73,242.42
240,2.63,90.82,220.41
120,2.79,85.31,280.56
280,2.34,88.98,153.71
160,3.6,19.18,269.6
240,3.03,54.08,208.72
120,0.44,21.02,193.84
280,1.9,100.0,149.93
120,3.56,32.04,252.48
240,0.12,70.61,149.1
160,2.63,33.88,275.67
160,0.77,44.9,238.46
240,1.62,13.67,160.27
200,3.07,94.49,336.45
240,2.99,35.71,199.76
280,3.52,17.35,125.5
280,0.16,30.2,69.69
280,1.41,48.57,112.84
160,1.33,74.29,267.57
160,2.75,10.0,266.3
240,1.21,63.27,175.06
240,2.26,61.43,198.48
160,2.91,35.71,282.28
200,2.1,21.02,282.66
200,0.89,48.57,267.39
240,0.89,79.8,175.06
280,2.99,24.69,134.66
160,2.51,90.82,301.91
280,3.64,39.39,135.46
240,3.27,15.51,187.0
280,3.35,10.0,123.67
160,3.07,35.71,283.07
120,0.44,98.16,232.2
240,2.71,79.8,216.5
160,3.23,94.49,310.9
280,1.25,87.14,128.25
160,0.24,37.55,220.13
200,1.62,35.71,278.96
200,0.08,81.63,261.23
160,0.65,39.39,232.22
240,2.63,85.31,217.32
280,2.87,39.39,139.22
200,2.51,26.53,293.95
200,3.35,28.37,300.39
160,2.99,72.45,302.15
280,3.23,21.02,130.06
280,4.0,77.96,151.08
280,0.04,74.29,88.46
160,2.34,87.14,296.83
120,2.51,65.1,265.16
120,0.53,13.67,191.79
160,0.08,72.45,232.73
280,1.05,61.43,110.08
280,0.89,70.61,110.24
160,3.76,88.98,302.97
280,2.83,66.94,152.24
160,2.79,70.61,297.25
280,2.42,46.73,134.0
280,1.01,43.06,99.82
280,3.39,30.2,133.18
240,1.45,17.35,158.13
120,0.48,43.06,205.67
120,2.95,24.69,253.58
240,0.81,19.18,142.02
240,2.67,66.94,209.18
240,0.36,22.86,132.13
280,2.55,94.49,160.81
160,2.38,35.71,271.64
200,0.65,24.69,249.13
120,2.51,85.31,275.61
120,2.26,77.96,266.65
160,1.21,55.92,255.39
160,0.53,59.59,238.88
120,2.26,22.86,239.14
240,3.68,22.86,186.81
200,3.96,92.65,326.65
120,3.23,57.76,268.08
160,3.72,50.41,284.08
160,0.97,55.92,249.38
120,1.78,43.06,238.85
240,4.0,70.61,207.32
120,1.17,81.63,243.57
160,1.21,68.78,261.58
200,1.49,50.41,283.37
200,1.78,65.1,297.76
120,1.21,21.02,213.88
200,1.9,28.37,281.94
240,2.02,32.04,178.33
120,2.91,39.39,260.26
240,2.59,72.45,210.45
240,2.75,63.27,209.27
240,0.28,72.45,154.34
280,0.73,100.0,120.63
120,1.09,57.76,229.25
240,3.03,22.86,193.21
120,0.24,96.33,225.28
280,1.41,54.08,115.52
240,0.81,85.31,175.44
120,0.32,76.12,217.52
120,2.14,50.41,250.12
280,2.34,33.88,126.51
200,0.81,81.63,281.67
280,0.28,87.14,102.09
240,2.42,63.27,202.9
120,3.11,87.14,284.15
280,1.01,33.88,95.2
200,1.82,98.16,314.84
240,0.4,66.94,155.48
200,1.37,28.37,269.76
120,1.54,10.0,216.29
200,0.81,96.33,289.05
200,1.09,98.16,297.25
200,0.36,50.41,253.9
240,2.14,83.47,207.0
280,1.54,83.47,133.34
240,2.83,100.0,229.05
120,1.45,24.69,221.33
200,3.56,90.82,329.72
200,1.25,24.69,264.68
240,3.19,35.71,198.36
200,3.07,68.78,323.58
200,0.97,63.27,276.7
160,2.1,32.04,264.6
160,2.34,21.02,263.91
200,2.83,32.04,303.01
240,3.43,54.08,204.78
200,3.07,30.2,304.26
280,2.34,83.47,151.09
200,1.37,87.14,299.03
120,0.24,92.65,223.7
240,3.68,90.82,220.32
240,1.74,55.92,184.36
240,1.9,57.76,188.55
120,3.64,10.0,240.78
280,1.33,39.39,106.03
120,2.1,81.63,265.08
200,1.05,24.69,259.76
120,3.72,88.98,279.22
160,3.64,11.84,265.43
160,0.53,63.27,240.62
200,0.69,28.37,251.99
240,2.14,26.53,178.34
240,2.95,26.53,194.35
280,0.57,100.0,116.54
240,1.09,32.04,156.26
120,3.8,79.8,273.86
200,0.28,44.9,248.98
240,4.0,63.27,203.51
280,0.81,72.45,109.24
240,0.48,48.57,148.54
200,1.13,10.0,254.55
120,3.6,63.27,267.97
280,2.46,44.9,133.92
120,2.79,63.27,269.47
200,0.24,94.49,272.31
160,2.42,15.51,262.62
280,2.1,41.22,125.07
160,0.44,70.61,242.03
240,1.62,100.0,203.06
240,3.31,37.55,197.93
120,2.95,87.14,284.67
160,3.43,66.94,295.22
200,2.87,50.41,312.68
120,2.1,65.1,257.04
120,0.69,13.67,196.43
200,0.36,24.69,240.89
120,2.42,13.67,237.86
120,2.42,35.71,248.81
280,3.15,57.76,149.22
200,0.97,22.86,256.68
280,0.61,87.14,110.62
280,0.61,79.8,107.48
200,4.0,57.76,308.62
280,3.56,96.33,164.87
280,1.82,79.8,137.64
200,1.7,85.31,305.36
160,1.45,44.9,256.08
160,3.84,55.92,285.58
280,1.58,88.98,136.69
280,0.85,98.16,123.02
120,4.0,13.67,239.09
120,3.23,35.71,257.4
200,3.52,17.35,293.78
200,0.32,92.65,273.81
280,2.67,68.78,150.19
280,0.32,19.18,69.07
160,3.43,30.2,276.73
240,1.82,33.88,174.67
280,0.44,54.08,89.85
280,2.83,63.27,150.55
160,1.78,41.22,261.86
120,3.76,94.49,281.63
200,0.77,100.0,290.01
200,3.47,19.18,294.83
240,2.42,24.69,183.32
120,3.11,33.88,257.83
240,0.97,79.8,176.94
280,2.38,55.92,138.6
280,3.07,37.55,139.92
160,3.92,85.31,299.37
120,0.28,98.16,227.28
120,3.52,32.04,252.55
240,1.49,98.16,199.57
200,2.26,92.65,321.92
120,3.88,92.65,279.5
120,0.85,65.1,226.12
120,1.37,96.33,255.54
200,0.24,54.08,252.28
160,3.6,26.53,273.46
160,2.55,59.59,287.21
160,3.39,21.02,272.58
200,3.6,30.2,299.38
160,2.18,74.29,286.91
200,1.98,15.51,277.2
160,0.69,74.29,250.63
240,0.12,98.16,162.59
280,1.49,17.35,98.77
240,2.1,68.78,198.13
200,2.55,22.86,292.93
240,3.56,28.37,190.66
280,2.22,30.2,122.01
120,0.32,26.53,192.81
120,3.6,28.37,250.39
240,0.85,79.8,173.98
280,3.96,33.88,129.14
240,1.82,10.0,162.89
160,0.97,98.16,270.31
160,1.74,76.12,278.04
240,1.7,92.65,201.83
120,2.22,50.41,252.26
280,0.93,57.76,104.9
280,2.79,43.06,139.54
120,3.47,41.22,257.63
280,1.94,32.04,116.96
120,1.78,22.86,228.1
280,0.08,22.86,63.94
160,2.83,65.1,295.48
160,1.78,33.88,257.93
280,0.93,54.08,103.19
200,0.2,98.16,272.92
240,3.8,88.98,218.45
120,1.13,37.55,219.7
280,1.13,43.06,102.86
200,0.32,85.31,270.32
160,0.48,65.1,240.62
240,1.78,72.45,193.35
160,2.38,55.92,281.97
240,2.59,50.41,199.95
160,1.58,83.47,278.04
200,3.68,98.16,331.91
160,1.17,66.94,260.07
280,0.97,96.33,125.53
280,2.63,26.53,128.32
120,3.15,54.08,267.56
280,1.54,79.8,131.0
280,3.11,13.67,127.7
120,2.18,87.14,269.33
200,2.22,48.57,299.25
200,2.67,50.41,308.74
240,2.14,68.78,199.03
280,1.7,85.31,138.09
200,2.46,63.27,311.05
280,1.01,10.0,83.16
240,1.94,65.1,193.39
280,2.34,68.78,143.74
160,1.7,76.12,276.85
160,2.42,33.88,271.66
240,2.71,22.86,187.86
240,1.9,46.73,183.08
120,1.37,88.98,251.85
280,2.38,72.45,146.19
120,3.72,61.43,265.48
280,3.88,33.88,130.05
160,3.47,88.98,305.82
240,3.52,66.94,210.35
240,0.24,46.73,140.81
280,0.16,59.59,84.72
160,2.87,39.39,283.05
280,3.96,66.94,145.74
120,1.41,48.57,232.13
120,1.9,24.69,232.28
160,3.64,76.12,297.88
280,2.87,88.98,163.92
120,0.93,74.29,233.26
200,2.26,83.47,317.27
120,2.14,79.8,264.7
120,0.81,11.84,199.1
160,1.98,43.06,267.39
160,2.67,46.73,283.36
120,3.84,100.0,283.8
160,3.43,92.65,307.79
200,3.07,52.24,315.25
160,1.94,57.76,273.57
240,0.93,74.29,172.68
160,1.49,74.29,271.74
120,1.13,52.24,227.38
240,2.38,52.24,195.96
200,2.95,72.45,325.63
200,0.73,24.69,251.17
200,1.86,87.14,310.46
160,0.81,11.84,223.15
120,2.14,76.12,263.43
280,3.56,66.94,149.92
280,1.98,50.41,127.21
120,2.14,35.71,242.92
120,2.14,100.0,274.82
160,0.12,98.16,246.33
280,2.95,98.16,170.35
200,1.09,83.47,290.45
200,0.2,90.82,269.53
120,2.59,70.61,269.34
160,3.72,21.02,269.43
120,0.04,88.98,216.16
240,2.79,87.14,221.62
240,0.28,24.69,130.86
160,2.91,92.65,310.56
280,0.48,17.35,72.62
120,2.3,74.29,265.51
240,0.36,55.92,148.68
160,0.08,46.73,219.92
160,2.06,81.63,288.0
240,0.89,13.67,141.73
240,2.42,65.1,203.31
280,0.89,68.78,109.49
160,0.65,44.9,235.14
120,3.52,65.1,269.37
160,3.76,39.39,278.49
240,2.51,81.63,213.56
240,1.45,88.98,194.21
280,2.26,37.55,126.19
200,2.71,22.86,295.96
120,0.65,43.06,209.96
200,3.31,65.1,320.0
240,0.16,65.1,147.28
200,3.31,37.55,305.77
200,2.51,81.63,321.4
160,3.23,54.08,290.81
200,1.37,94.49,302.62
240,3.76,37.55,193.15
200,2.34,96.33,325.71
240,1.78,63.27,188.59
200,0.24,98.16,273.93
120,0.53,22.86,196.81
240,0.04,85.31,153.92
200,1.01,26.53,259.51
240,3.92,37.55,191.83
160,3.31,74.29,300.27
160,2.91,50.41,289.84
200,0.16,33.88,239.56
160,3.15,10.0,269.58
240,0.57,46.73,149.93
280,1.41,88.98,132.8
160,3.52,21.02,271.26
240,2.75,24.69,189.66
280,2.22,68.78,141.34
240,2.14,19.18,174.72
240,2.87,79.8,219.65
200,1.49,87.14,301.76
240,0.73,92.65,177.33
200,3.07,100.0,339.05
280,0.2,39.39,75.75
280,3.07,61.43,151.82
120,2.79,52.24,264.17
240,0.85,61.43,164.77
160,2.18,87.14,293.77
240,1.33,94.49,193.66
240,1.25,61.43,175.39
120,0.97,88.98,241.54
160,0.93,96.33,268.38
200,3.68,52.24,309.54
240,3.68,54.08,201.98
120,0.28,33.88,195.29
200,2.67,35.71,301.53
160,0.12,32.04,213.53
240,0.36,44.9,143.17
240,2.26,96.33,215.73
200,1.41,63.27,288.02
240,2.83,19.18,188.66
160,1.66,50.41,263.58
120,2.14,39.39,244.91
200,0.36,35.71,246.5
240,0.85,88.98,178.3
240,3.27,26.53,192.74
120,1.9,90.82,265.02
160,2.02,72.45,282.15
280,3.52,50.41,141.89
160,0.48,68.78,242.16
160,0.85,57.76,247.13
280,3.6,100.0,165.86
160,2.87,72.45,299.85
240,0.28,100.0,168.14
280,0.32,24.69,72.25
200,3.8,30.2,296.75
240,1.86,96.33,206.82
280,2.34,66.94,142.75
160,3.52,41.22,281.43
120,0.61,94.49,234.4
160,2.42,32.04,271.09
160,3.35,39.39,282.1
240,2.02,74.29,199.32
240,1.58,61.43,182.82
120,0.44,10.0,188.35
120,2.3,41.22,249.56
120,1.66,68.78,248.47
280,1.21,43.06,104.48
200,1.21,59.59,281.26
160,2.51,44.9,278.95
240,2.67,26.53,189.26
200,0.48,28.37,246.59
280,3.07,10.0,126.33
120,0.0,15.51,177.81
160,2.3,57.76,281.7
200,0.89,17.35,251.68
280,0.44,81.63,103.89
280,1.54,39.39,111.37
280,1.98,77.96,140.59
240,1.33,92.65,192.68
200,3.76,37.55,301.5
240,0.4,65.1,154.17
240,2.75,13.67,184.17
120,3.8,22.86,245.22
240,1.58,83.47,194.03
280,2.42,96.33,159.14
240,3.35,68.78,213.13
240,3.6,50.41,201.12
120,3.19,17.35,248.8
280,1.62,52.24,119.17
120,1.7,57.76,243.87
280,3.6,59.59,146.02
120,3.72,44.9,257.39
280,1.09,79.8,120.16
280,0.16,10.0,59.68
240,3.56,57.76,205.41
200,3.6,57.76,312.78
160,3.84,74.29,295.16
280,3.88,17.35,121.69
120,2.02,87.14,266.16
200,1.62,54.08,288.44
280,3.56,68.78,150.82
280,0.28,11.84,64.0
200,2.75,33.88,301.92
160,1.01,43.06,243.65
280,4.0,15.51,119.5
120,2.75,61.43,267.57
160,2.1,48.57,272.51
200,0.61,54.08,262.41
120,1.74,59.59,246.32
280,2.1,19.18,113.95
240,3.03,90.82,227.54
240,2.18,90.82,211.13
280,2.99,54.08,149.27
280,0.44,59.59,92.5
120,3.11,92.65,287.35
120,3.31,39.39,258.59
280,2.59,46.73,137.26
280,0.77,21.02,82.54
160,0.89,17.35,227.74
120,0.08,83.47,213.96
200,0.97,24.69,257.38
120,0.28,81.63,218.97
280,3.19,59.59,149.82
120,0.53,61.43,215.94
200,2.55,30.2,296.67
120,1.78,68.78,251.39
120,0.69,61.43,220.22
160,1.54,76.12,273.63
200,3.03,15.51,297.52
160,0.44,32.04,222.88
160,1.25,68.78,262.96
280,0.65,19.18,78.53
280,1.05,30.2,94.41
240,0.24,39.39,137.22
280,1.82,39.39,117.91
120,3.43,33.88,254.31
200,3.11,48.57,312.98
200,0.85,10.0,246.95
160,1.45,28.37,247.87
120,2.3,96.33,276.61
280,0.48,13.67,71.1
120,2.1,41.22,244.73
240,0.57,32.04,142.68
200,3.31,81.63,327.94
160,1.66,77.96,277.08
120,1.13,77.96,240.56
160,0.97,54.08,248.09
200,2.38,30.2,293.3
160,0.77,88.98,260.09
160,2.51,72.45,292.96
200,0.36,30.2,243.79
120,3.8,35.71,252.29
160,1.62,50.41,262.35
160,2.67,26.53,272.92
240,2.75,52.24,203.71
240,2.99,22.86,193.34
240,0.77,44.9,154.37
240,1.78,13.67,163.81
120,1.49,46.73,234.02
160,1.29,11.84,235.22
280,3.64,90.82,160.87
280,2.79,85.31,160.78
200,3.76,52.24,308.38
280,3.47,32.04,133.1
200,2.18,87.14,317.59
160,1.37,28.37,245.57
200,2.99,68.78,324.17
240,3.31,55.92,206.54
160,3.84,46.73,280.64
280,0.16,63.27,86.22
200,3.52,33.88,301.67
160,0.16,54.08,225.72
160,1.01,70.61,257.71
120,0.04,46.73,194.53
120,1.17,46.73,225.7
120,3.68,24.69,247.8
200,2.95,83.47,330.88
200,1.49,43.06,279.82
280,0.4,81.63,102.5
200,3.72,87.14,326.45
280,3.27,44.9,141.58
160,3.56,87.14,303.86
120,2.02,98.16,271.56
160,0.77,74.29,253.09
280,2.59,96.33,162.3
120,0.57,100.0,236.27
240,3.27,28.37,193.64
160,1.66,72.45,274.41
200,3.52,28.37,299.06
160,2.42,39.39,274.93
120,1.45,55.92,237.31
280,3.8,61.43,144.63
280,0.44,65.1,95.43
240,3.52,46.73,200.43
120,1.33,37.55,225.44
200,3.03,100.0,339.8
240,2.55,28.37,187.64
160,0.77,17.35,224.6
280,2.67,70.61,150.98
240,3.07,46.73,204.86
200,1.9,41.22,288.74
120,0.0,63.27,201.52
120,1.54,94.49,258.63
120,0.12,19.18,183.02
120,3.52,70.61,271.7
160,2.1,57.76,277.42
280,2.63,43.06,136.79
200,0.93,77.96,283.05
120,1.49,65.1,243.13
160,0.32,10.0,208.69
280,2.3,85.31,151.16
120,1.62,96.33,261.75
280,1.82,96.33,146.15
160,1.54,66.94,268.83
160,1.66,83.47,280.38
200,1.49,70.61,294.01
120,0.0,61.43,200.68
240,2.22,15.51,174.41
120,3.47,21.02,247.66
200,0.28,11.84,232.32
280,2.1,63.27,135.75
200,2.06,37.55,289.78
200,3.03,28.37,303.81
200,3.27,13.67,293.93
240,0.0,22.86,121.57
280,0.53,37.55,84.09
200,0.36,28.37,242.67
200,1.17,30.2,265.89
200,1.66,46.73,285.65
200,3.23,59.59,317.31
120,1.29,50.41,230.57
240,3.11,32.04,196.9
240,2.51,72.45,209.0
240,1.17,85.31,184.87
240,4.0,17.35,180.84
160,0.0,83.47,235.6
280,3.68,13.67,121.92
120,1.49,19.18,219.72
120,3.39,72.45,274.15
280,1.54,32.04,107.39
240,3.6,46.73,199.54
160,3.15,44.9,286.92
120,1.58,13.67,219.11
120,2.59,57.76,262.97
240,1.17,26.53,155.7
200,3.96,22.86,291.52
280,0.04,24.69,63.58
280,0.97,48.57,101.12
200,0.48,37.55,250.83
120,1.13,43.06,222.71
200,1.58,100.0,310.37
120,1.74,88.98,260.74
120,2.75,74.29,274.27
280,3.03,26.53,135.1
200,2.59,35.71,299.99
120,2.87,70.61,275.09
120,0.65,15.51,196.34
200,3.8,90.82,327.34
200,3.11,19.18,298.6
240,0.4,74.29,159.01
120,3.35,32.04,254.45
160,1.37,96.33,279.99
160,3.43,17.35,270.37
240,0.04,76.12,148.97
200,1.33,11.84,260.39
280,1.82,77.96,136.77
240,3.19,61.43,210.76
280,1.45,46.73,112.62
120,2.3,98.16,277.4
280,0.08,66.94,85.36
280,2.63,65.1,147.36
160,2.63,65.1,291.46
280,0.44,33.88,79.86
280,2.99,37.55,140.66
280,1.62,26.53,106.88
120,0.57,24.69,198.7
240,1.25,13.67,151.25
120,2.46,11.84,237.58
240,3.03,74.29,219.08
240,2.75,72.45,213.48
120,1.13,70.61,236.42
280,3.31,35.71,136.67
280,1.33,17.35,95.04
160,3.56,32.04,276.42
200,1.21,87.14,295.17
120,3.64,87.14,279.41
280,0.32,63.27,90.75
200,0.93,63.27,275.93
120,0.24,54.08,204.24
280,3.47,74.29,154.6
240,3.43,79.8,217.6
160,0.57,88.98,254.7
240,0.32,96.33,167.69
240,1.21,22.86,155.06
200,2.38,66.94,311.66
280,3.43,96.33,165.62
280,2.34,19.18,118.98
120,2.18,77.96,264.72
160,2.67,32.04,275.96
280,0.61,28.37,81.63
240,0.57,87.14,170.0
200,3.15,68.78,323.2
160,3.6,39.39,279.59
280,0.48,33.88,81.03
280,1.33,85.31,129.41
