Concentration,Temperature,Doping (mol%),Response
275.11,178.57,9,3.73
5.24,208.83,6,11.08
346.44,189.54,3,1.8
153.1,157.35,9,1.73
298.36,183.83,9,4.36
398.85,234.67,0,3.56
246.78,154.62,9,1.51
94.75,259.32,6,6.07
36.56,192.4,3,2.08
260.34,255.75,9,5.21
209.76,210.37,0,2.86
234.25,257.71,9,5.03
350.94,162.82,0,1.3
100.97,178.85,9,3.45
386.25,152.38,0,0.97
331.42,198.02,3,2.85
378.9,181.17,0,1.9
380.24,178.85,0,1.61
239.46,150.21,6,2.24
133.45,204.78,3,3.81
207.36,275.29,6,5.82
360.01,216.32,6,10.97
36.57,297.37,3,4.06
66.99,240.77,6,9.15
174.23,253.58,0,3.78
128.31,161.63,0,1.29
313.42,215.83,9,6.92
3.91,264.44,9,4.75
167.78,174.39,3,1.44
65.35,286.57,3,4.04
118.94,221.51,6,10.73
11.7,231.17,6,9.79
304.4,171.76,3,1.51
118.53,281.09,3,4.18
311.94,232.36,0,3.13
174.52,222.07,9,6.65
46.76,202.53,0,2.38
37.78,176.05,0,1.83
221.54,183.41,6,5.86
304.65,272.7,9,4.38
353.51,227.18,0,3.34
227.02,240.49,6,8.73
399.77,252.53,0,3.82
37.78,176.05,6,4.66
217.51,255.05,9,5.4
127.9,200.01,9,6.28
54.83,196.43,9,5.6
259.86,226.41,6,10.51
8.97,214.83,3,4.8
4.18,259.88,9,5.2
210.8,204.49,9,6.46
247.84,269.62,0,3.01
367.41,285.59,9,3.12
121.17,177.84,3,1.67
304.91,253.44,0,3.87
322.73,177.24,0,1.66
119.82,172.27,9,2.72
312.17,169.89,9,2.4
198.79,266.47,6,5.47
112.39,184.11,6,5.34
158.75,266.89,9,4.82
229.22,252.05,3,4.75
259.46,218.36,3,5.15
139.12,229.91,6,10.8
208.9,170.66,6,2.47
171.27,288.39,9,2.61
70.8,192.16,6,8.39
390.14,222.34,3,5.42
217.68,256.78,3,4.55
257.93,159.15,3,1.37
256.69,185.94,3,1.85
64.15,199.67,3,3.1
313.05,198.46,9,5.89
96.74,163.24,0,1.11
277.47,235.02,6,9.31
88.84,159.17,0,1.13
201.92,182.94,3,1.69
263.8,253.48,3,4.9
84.45,258.28,3,4.46
112.74,176.54,6,3.64
16.29,173.46,6,3.3
329.74,260.83,3,4.57
34.27,202.46,9,6.42
333.83,238.02,3,5.51
307.59,187.4,6,6.4
347.31,248.68,6,7.54
394.4,181.24,0,1.87
131.28,286.43,0,2.46
186.96,225.99,0,3.14
38.16,170.94,3,1.48
183.65,190.62,0,2.15
147.57,193.77,6,8.1
399.82,232.62,3,5.55
194.12,165.69,9,2.39
302.5,277.11,3,4.21
198.9,159.94,0,0.99
292.64,242.24,0,3.66
197.77,179.62,0,1.89
361.86,169.96,9,2.4
118.52,224.94,6,10.67
242.69,193.3,3,2.32
110.47,154.43,3,1.21
299.99,209.05,3,4.42
268.68,188.03,0,2.19
240.75,278.23,6,5.12
278.41,227.6,6,10.08
290.44,171.29,6,2.93
128.98,225.92,9,6.31
364.95,245.25,6,8.09
399.08,255.82,9,5.25
247.24,258.76,9,5.22
147.18,283.56,0,2.35
392.28,254.84,9,5.29
14.5,178.22,9,3.46
297.4,231.45,6,9.09
233.83,205.54,9,6.83
23.14,163.81,3,1.32
4.86,182.92,0,1.86
10.55,186.07,0,2.06
378.84,181.52,3,1.88
299.35,191.5,3,2.03
6.64,254.83,3,4.58
12.05,230.96,9,6.01
4.34,178.5,0,1.74
208.95,207.99,9,7.1
331.46,282.07,3,4.28
217,256.52,9,5.19
142.85,172.29,3,1.57
320,183.24,3,1.69
72.58,257.71,0,3.5
64.27,233.97,3,5.87
209.8,197.13,0,2.28
184.31,192.37,0,2.36
351.84,294.15,3,4.07
343.53,199.15,3,3.04
101.86,199.58,6,8.64
244.13,257.22,6,5.78
250.36,223.05,0,3.02
70.84,166.74,6,2.59
66.26,164.22,9,2
387.83,153.5,6,1.45
186.3,199.3,9,6.04
337.5,165.41,9,2.27
289.38,191.87,3,2.09
211.89,201.76,9,6.35
322.17,252.88,3,4.9
66.94,218.06,3,5.18
8.23,150.7,6,1.21
322.26,257.53,3,4.55
202.9,275.92,9,4.04
380.24,178.85,6,3.82
127.64,222,6,11.29
228.75,287.55,6,5
335.26,219.48,3,5.16
389.4,233.76,0,3.35
29.16,151.13,3,0.97
345.82,236.84,9,5.83
347.89,240.07,9,5.73
124.73,269.2,6,5.88
385.34,237.12,3,5.8
276.97,261.36,0,3.33
386.66,167.3,6,1.92
307.3,242.66,9,5.67
68.67,215.41,6,11.55
161.73,261.15,6,6.08
247.84,284.61,0,2.31
15.71,252.2,3,4.76
47.96,240.95,3,5.27
126.15,290.77,3,3.94
324.22,186.21,0,1.89
30.78,222.42,0,2.96
29.93,165.48,9,2.11
93.23,243.36,9,5.64
177.12,237.79,3,5.61
286.56,173.04,9,2.69
152.42,186.35,9,4.59
320.03,282.51,0,2.46
28.46,287.54,3,4.07
277.88,219.4,6,10.15
57.02,289.49,3,4.03
195.46,234.32,0,3.38
332.98,150.84,6,1.55
37.24,163.31,6,1.49
397.95,270.11,0,2.99
95.67,270.39,6,5.25
66.93,179.04,3,1.82
89.78,227.81,6,10.48
193.27,227.44,3,5.85
217.8,253.79,6,7.91
315.14,176.89,9,3.32
324.71,278.44,0,2.6
65.45,234.88,6,9.11
160.75,219.86,3,5.43
288.98,166.46,6,2.44
222.75,201.85,3,3.52
96.27,291.9,3,4
195.14,273.05,0,2.97
5.76,173.25,6,3.37
50.75,175.28,9,3.15
110.95,184.46,0,1.94
191.46,203.86,9,6.72
221,153.3,3,0.93
249.19,245.39,6,8.14
207.33,168.42,0,1.34
306.33,224.03,9,6.2
331.55,247.7,0,3.93
215.8,222.84,6,11.75
282.23,221.02,0,3.15
222.59,276.29,3,4.24
119.49,288.25,6,4.7
52.97,279.7,9,3.59
1.53,154.73,3,1
263.55,252.18,0,3.96
242.69,206.24,6,10.59
394.65,249.73,0,3.88
173.13,167.03,3,1.32
170.84,158.75,6,2.44
282.23,221.02,6,11.93
387.93,247.21,6,7.87
279.74,244.48,9,5.66
154.24,222.71,3,5.31
383.18,285.44,3,3.91
219.49,164.71,6,2.16
107.9,248.89,0,4
371.33,167.16,6,2.06
390.24,267.73,6,5.66
61.75,198.88,0,2.46
271.53,206.31,9,6.74
152.86,289.57,3,3.99
349.09,288.53,0,2.18
149.08,229,6,10.19
384.4,285.66,9,2.96
70.55,208.34,0,2.57
317.04,168.91,3,1.68
387.14,277.11,0,2.63
195.21,289.65,9,2.73
360.96,284.24,3,4.22
38.68,192.65,9,5.16
130.13,154.13,0,1.04
291.08,212.96,9,7.14
76.28,209.88,0,2.64
360.7,274.73,6,5.14
168,292.72,3,4.12
215.74,158.33,0,1.17
80.99,283.42,6,5.03
267.46,197.83,0,2.38
136.47,204.98,9,6.52
122.92,256.94,6,7.47
174.99,189.71,6,6.82
363.98,155.63,3,1.22
66.9,216.95,9,6.72
281.48,182.27,3,1.57
255.02,156.09,6,1.42
33.64,180.4,6,5.71
46.53,276.55,9,3.98
60.81,269.76,0,3.12
60.81,269.76,6,6.07
103.07,243.85,6,8.37
122.42,191.39,9,5.22
212.54,171.08,0,1.48
13.58,221.37,6,11.24
380.57,168.01,3,1.37
296.9,208.75,3,4.39
366.02,251.6,3,4.7
4.54,181.94,6,5.28
58.91,223.31,3,5.26
153.12,210.71,3,4.46
16.31,161.77,0,1.19
160.81,269.98,3,4.23
240.04,206.52,9,7.12
163.38,228.93,0,3.1
125.97,271.56,3,4.29
21.9,207.29,0,2.63
268.51,261.21,3,4.69
272.45,257.64,6,6.36
252.58,285.14,3,4.07
197.52,156.65,0,0.89
349.03,221.72,9,6.52
193.61,251.83,3,4.79
35.15,240.07,6,7.87
164.16,197.2,6,8.46
88.79,211.56,0,2.86
70.97,280.41,0,2.66
41,232.92,0,3.22
272.55,198.04,9,5.85
247.44,230.82,0,3.4
215.9,154.83,9,1.49
107.6,238.24,0,3.59
243.24,286.08,9,3.04
241.4,152.18,3,1.03
209.2,263.39,9,4.96
311.83,226.9,0,3.21
95.26,231.94,3,5.96
285.28,159.3,3,1.29
201.05,166.18,6,2.19
377.23,279.14,6,5.04
72.23,221.16,0,2.91
358.53,212.82,6,11.4
249.16,170.87,0,1.61
205.08,226.55,6,10.54
170.56,266.53,3,4.3
188.44,206.8,9,6.9
358.14,194.87,3,2.41
202.99,231.73,6,10.16
4.52,256.25,3,4.65
369.1,268.08,0,3.05
2.78,158.96,6,1.4
128.94,199.44,6,9.02
345.12,260.17,6,5.68
358.84,163.8,0,1.3
275.55,281.67,0,2.63
150.59,186.14,6,6.66
250.3,252.32,9,5.37
278.46,210.63,3,4.67
357.75,270.46,9,4.73
389.35,221.89,3,5.45
291.28,218.91,6,11.2
217.42,202.32,6,9.84
328.73,210.78,3,4.54
12.46,212.58,3,4.69
195.34,158.4,9,1.8
58.83,190.34,0,2.13
330.62,242.67,3,5.4
293.2,241.92,3,5.27
163.73,236.07,6,10.42
222.28,280.2,9,3.67
216.76,220.11,0,3.05
259.83,229.77,9,5.81
42.96,164.5,9,2.26
83.15,213.03,6,11.51
103.77,213.59,0,2.85
398.75,209.32,6,12.38
191.4,274.34,3,4.37
77.47,207.71,9,7.13
269.08,183.92,3,1.61
16.58,157,9,1.64
210.56,242.17,0,3.58
152.21,181.67,3,1.65
65.76,241.55,3,5.19
187.72,219.89,9,6.86
275.15,233.06,6,9.22
156.78,252.25,9,5.45
9.31,176.4,6,4.11
83.55,157.65,3,1.16
220.82,214.01,6,11.29
334.81,230.61,0,3.01
118.33,268.56,3,4.36
222.58,157.77,9,1.82
40.59,164.43,0,1.36
338.82,162.76,3,1.23
179.67,238.52,9,5.85
151.64,160.13,3,1.41
109.22,288.25,9,2.67
237.65,186.42,6,5.64
161.28,248.3,3,4.9
151.4,233.9,9,5.99
231.31,169.89,0,1.71
77.85,271.65,6,4.85
125.74,225.64,9,6.32
145.71,192.51,6,7.42
38.89,222.35,9,6.5
228.11,295.2,3,3.85
244.15,164.29,9,2.23
234.39,242.94,9,5.52
80.65,200.99,0,2.38
30.79,210.56,3,4.49
265.01,153.15,0,0.84
321.39,176.96,6,4.22
219.54,184.67,3,1.65
198.5,296.77,3,3.79
263.57,211.42,6,11.39
80.9,209.95,3,4.5
389.4,233.76,6,9.61
88.2,230.52,3,5.84
3.97,160.81,3,1.3
251.93,250.55,3,4.8
39.13,173.74,6,3.15
88.07,229.35,0,3.23
285.3,156.37,0,1.12
104.91,218.28,6,10.29
292.64,242.24,6,8.34
226.56,217.79,0,2.89
387.72,183.48,6,7.26
227.96,203.58,6,10.08
321.14,207.43,0,2.57
54.86,225.26,3,5.58
217.09,204.7,6,9.94
2.38,229.21,9,5.99
173.61,191.65,3,1.98
218.16,202.04,9,6.45
397.03,261.43,3,4.61
278.01,270.25,6,5.58
140.33,245.45,3,4.96
15.76,255.88,3,4.71
342.52,224.1,9,6.32
253.74,241.89,9,5.81
92,260.38,3,4.48
385.37,168.21,9,2.46
388.3,176.75,9,3.51
333.15,203.23,9,6.56
193.81,193.63,6,8.99
372.67,278.93,9,3.99
175.8,269.34,0,3.07
175.9,223.61,3,5.56
186.46,205.61,9,7
160.31,210.51,0,2.65
267.78,224.38,9,6.28
143.68,245.15,3,5.02
255.68,275.64,9,4.01
199.56,170.11,3,1.46
77.55,199.07,3,3.28
349.43,193,0,2.43
165.85,209.18,0,2.72
379.38,214.22,0,2.82
289.74,261.64,6,5.03
278.19,254.14,0,3.62
295.17,194.2,3,2.28
45.42,188.24,6,7.24
158.77,178.99,9,3.35
27.05,262.48,6,6.2
309.38,268.85,9,4.59
241.4,285.38,0,2.37
288.7,212.61,9,7.31
326.98,266.89,6,6.02
88.2,285.67,3,3.91
290.57,275.85,9,4.07
173,269.13,6,5.81
345.12,260.17,0,3.36
356.34,200.8,3,3.43
215.66,257.08,0,3.53
65.41,246.65,6,8.26
290.1,244.76,0,3.87
349.18,220.18,0,2.96
159.14,197.41,6,10.09
71.73,216.04,9,6.96
247.29,180.26,0,1.78
252.92,161.28,6,1.91
301.56,247.77,9,5.42
213.44,255.54,6,7.33
203.43,157.21,6,0.88
393.76,215.27,0,2.69
291.4,280.2,6,5.05
226.3,270.89,3,4.13
356,169.61,6,2.69
354.64,271.51,6,4.58
189.97,273.4,9,4.33
149.85,174.37,6,3.21
277.98,267.59,6,5.47
135.31,278.65,0,2.66
171.04,195.4,3,2.72
198.35,229.21,0,3.22
54.07,268.85,6,5.25
354.43,260.16,3,4.43
221.69,283.07,6,5.16
48.55,277.53,0,2.71
54.84,272.49,0,3
304.4,283.21,6,5.4
307.05,252.95,9,5.35
15.37,274.66,0,2.67
96.82,160.86,0,1.11
45.3,206.66,0,2.51
177.6,266.19,9,4.94
29.62,155.39,0,0.96
282.18,231.66,9,5.94
275.13,210.72,9,7.47
331.95,190.55,9,5.05
51,204.07,6,10.83
373.08,193.82,3,2.33
106.02,276.9,6,5.87
192.46,198.95,0,2.35
110.14,155.11,9,1.37
369,205.96,0,2.58
135.7,164.08,9,2.11
214.79,227.95,6,10.6
120.34,229.98,9,5.91
255.14,157.42,9,1.68
233.73,183.9,0,1.84
377.5,166.53,9,2.32
106.38,269.2,9,4.8
336.81,264.93,6,6.62
308.45,175.81,3,1.54
292.89,220.25,0,2.89
107.7,194.68,6,7.93
199.56,239.57,0,3.55
316.11,255.47,9,5.34
206.91,286.22,0,2.31
342.8,164.01,9,2.08
110.19,212.82,9,7.11
321.06,288.74,6,4.02
380.31,156.75,3,1.18
360.7,274.73,0,2.8
39.23,273.4,6,5.31
155.72,217.44,6,11.63
177.5,251.06,0,3.82
74.63,158.19,0,0.97
9.73,166.6,6,2.23
76.83,155.67,9,1.57
30.35,191.04,6,7.44
126.53,227.25,9,6.31
84.49,221.06,3,5.26
384.15,244.2,9,5.77
34.14,170.94,6,3.19
381.57,166.88,6,2.12
396.27,216.26,3,5.07
86.69,217.86,9,6.7
373.09,185.86,6,6.21
191.23,196.99,9,5.78
189.69,221.79,6,11.22
47.59,229.07,9,6.03
76.32,243.57,9,5.73
122.24,283.77,6,5.66
148.42,244.34,6,8.69
288.01,204.49,6,10.54
91.38,243.29,6,8.25
176.91,190.06,9,4.99
133.2,263.04,6,5.99
179.38,179.06,0,1.7
295.03,224.59,6,10.17
93.76,249.31,9,5.4
1.29,284.54,0,2.49
205.93,246.44,6,8.47
367.14,172.69,9,2.96
220.34,228.79,0,3.06
300.35,177.87,0,1.72
299.3,193.35,6,8.36
141.89,278.31,3,4.29
98.89,246.23,6,8.71
323.95,199.51,6,10.55
98.66,238.99,3,5.36
28.48,176.19,6,5.04
257.58,267.87,9,4.72
383.83,272.98,6,5.23
181.98,156.37,9,1.63
357.96,277.67,9,4.03
309.17,161.33,3,1.32
239.72,218.66,3,5.18
375.39,247.92,3,4.83
258.32,279.49,0,2.66
16.82,240.77,9,5.66
139.55,200.01,6,9.75
223.86,239.78,6,9.18
264.69,254.9,3,4.8
60.17,186.35,0,2.07
189.52,163.73,3,1.39
216.93,258.06,9,5.25
115.28,169.4,9,2.47
388.42,221.65,0,3.21
131.47,179.2,0,1.79
313.5,185.34,3,1.5
375.19,222.56,3,5.62
28.88,243.71,6,8.11
15.85,239.15,6,8.75
356.06,165.68,3,1.78
376.59,297.15,3,4.03
392.45,217.23,3,5.03
218.21,154.76,9,1.65
196.85,190.48,0,1.97
117.26,212.75,6,11.24
374.37,283.04,3,4.12
39.36,276.69,6,5.52
34.14,170.94,0,1.59
136.84,240.72,3,5.53
305.44,214.29,6,11.12
361.66,189.78,6,6.41
336.77,288.6,0,2.3
227.19,243.87,3,5.25
111.44,192.09,6,7.47
327.19,231.59,0,3.51
336.8,280.13,6,5.06
367.94,207.78,6,11.73
317.92,166.11,6,1.7
156.98,171.91,3,1.47
32.91,235.72,9,5.98
264.67,228.86,3,5.95
82.34,248.75,6,8.32
223.86,239.78,0,3.66
370.48,170.41,3,1.62
13.76,152.94,0,0.89
129.18,171.5,6,2.68
237.44,195.24,0,1.99
60.07,275.36,6,4.21
84.82,258.9,6,6.67
37.51,231.49,3,6.01
357.68,261.99,6,5.82
137.79,262.83,9,4.89
220.09,258.34,6,6.7
35.23,289.44,9,2.6
344.82,221.86,0,3
102.63,258.06,0,3.55
245.36,226.06,6,11.09
0.08,165.55,9,2.32
185.05,243.92,0,3.76
33.12,217.23,0,2.95
7.24,205.61,0,2.46
26.02,152.24,6,1.33
8.77,196,3,2.5
53.01,267.94,6,5.07
254.88,274.87,0,2.88
205.93,246.44,0,3.96
387.95,182.99,6,4.45
222.71,197.97,6,9.7
57.39,281.17,3,4.15
56.05,235.3,9,5.66
37.83,158.82,9,1.68
252.73,232.08,0,3.29
165.65,271.79,0,3.1
216.76,220.11,6,11.59
340.23,230.4,0,3.38
217.06,170.1,6,3.01
394.26,160.79,0,1.21
270.98,250.85,3,4.87
122.97,271.37,9,4.62
288.03,150.91,9,1.29
14.09,274.73,9,4.24
114.61,221.44,3,5.23
374.65,213.03,9,7.15
329.31,262.86,3,4.46
325.93,241.68,0,3.71
75.45,286.71,9,2.8
153.73,225.36,0,2.93
179.62,234.12,3,5.87
187.48,186.77,6,5.67
134.08,207.36,6,11.49
230.19,175.14,6,3.32
214.79,227.95,0,3.2
208.43,256.24,9,5.17
319.51,223.75,0,3.07
342.61,181.22,3,1.82
120.55,201.9,6,9.5
304.6,180.19,0,1.6
233.22,213.24,0,2.91
285.62,192.32,3,2.23
165.93,186.84,0,1.84
137.58,241.85,3,5.27
212.38,160.66,3,1.11
263.77,261.81,3,4.45
63.47,174.02,9,3.05
109.98,200.5,9,6.24
62.41,150.28,0,0.79
302.82,239.59,3,5.27
99.93,262.06,9,5.03
71.42,211.98,0,2.93
331.38,281.77,3,4.11
281.82,187.29,3,1.74
344.71,210.79,0,2.79
346.43,277.32,9,3.85
110.12,218.43,3,5.16
275.45,204.1,3,3.53
319.49,278.02,6,4.96
366.24,254.91,9,5.2
164.48,262.26,3,4.7
377.71,221.72,0,3.17
269.54,264.06,3,4.57
237.18,228.02,6,10.42
329.04,170.45,6,2.49
3.73,282.09,0,2.44
319.94,214.64,6,10.99
292.32,181.52,9,4.04
328.87,158.1,3,1.23
302.05,281.62,3,4.18
234.53,169.12,9,2.49
337.87,251.38,3,4.59
136.69,187.82,9,4.82
231.35,261.71,6,5.7
152.08,255.33,0,3.72
230.85,298.05,3,4.02
27.6,175.21,3,1.5
297.42,189.15,9,4.87
5.07,208.06,9,6.97
370.8,264.79,0,3.15
227.18,221.23,0,2.93
305.92,268.29,6,5.5
257.43,242.1,0,3.55
289.38,204.33,3,3.75
3.35,207.4,3,4.08
32.54,180.75,6,5.01
237.18,246.58,6,8.84
325.52,185.23,6,6.45
202.38,173.04,3,1.49
186.68,245.9,3,5.07
164.78,218.14,9,6.74
192.54,272.21,0,2.94
221.19,166.39,9,2.12
136.73,213.52,6,11.71
0.08,237.89,9,5.83
86.53,284.39,3,4.1
253.41,161.35,6,2.1
206.13,248.12,9,5.56
243,158.33,9,1.73
357.93,153.71,0,0.99
251.02,183.83,6,5.92
380.35,235.44,6,8.8
125.34,155.33,3,1.29
88.24,286.64,0,2.46
155.47,154.2,6,1.03
180.93,242.03,6,8.53
95.27,212.12,0,2.72
204.3,159.03,6,1.1
20.14,244.55,3,5.18
255.11,275.01,3,4.12
300.35,177.87,6,4.29
176.06,152.73,6,1.41
340.45,167.65,6,3.36
359.43,183.13,9,4.04
74.61,161.7,0,1.4
17.46,263.18,9,4.95
222.17,187.33,0,1.9
181.67,277.19,3,4.39
186.52,232.17,3,5.86
8.37,151.82,9,1.11
262.46,280.34,6,5.31
86.08,272.63,0,2.96
130.78,272.31,3,4.31
326.98,213.45,6,10.66
319.01,291.15,3,4.16
387.97,186.56,6,6.18
95.02,245.88,6,7.58
205.78,270.96,3,4.37
389.23,223.39,3,5.35
300.55,289.65,0,2.25
58.55,268.57,6,4.94
223.62,225.36,9,6.34
330.17,213.63,3,4.71
382.13,274.17,0,2.85
367.76,266.4,0,2.97
324.05,168.98,0,1.32
148.81,177.45,0,1.59
371.63,218.91,9,6.81
58.13,287.32,3,4.11
60.67,203.23,0,2.44
310.14,153.53,3,1.19
325.71,265.49,9,4.93
216.12,251.3,3,4.65
202.54,251.48,9,5.49
314.54,225.64,0,3.06
52.69,183.47,3,1.74
385.45,167.37,0,1.58
31.71,280.79,3,4.25
355.25,213.33,3,4.77
63.44,230.96,6,9.63
310.21,210.23,0,2.73
385.17,258.13,6,6.27
33.94,180.82,0,1.86
96.61,200.88,3,3.36
370.69,225.85,9,6.29
364.37,185.44,6,5.93
190.24,247.1,3,4.98
315.44,203.16,0,2.56
48.6,279.28,0,2.76
138.27,191.53,6,7.96
66.87,253.3,9,5.31
325.59,271.02,6,5.61
59.56,283.7,6,4.87
203.94,233.44,3,5.88
312.78,208.23,3,4.19
229.26,259.46,9,5.15
201.05,166.18,0,1.39
356.82,165.97,0,1.29
195.78,160.72,0,1.2
277.05,251.27,6,7.08
395.09,225.22,6,11.16
13.41,203.51,6,11
386.3,252.5,3,4.73
358.28,260.23,3,4.59
50.78,288.89,3,4.19
188.66,297.3,3,4.06
107.47,214.85,0,2.77
371.56,225.01,9,6.18
188.63,199.86,6,9.47
98.67,282.16,0,2.56
40.55,186.39,3,1.6
70.84,166.74,0,1.47
310.05,153.57,6,1.09
387.64,227.11,0,2.84
305.13,250.08,9,5.39
183.4,159.94,9,1.8
143.13,152.25,3,1
38.79,291,3,3.92
74.08,276.55,6,5.34
200.61,169.26,6,2.8
149.08,229,0,3.17
282.71,247.98,0,3.85
246.77,231.94,6,10.23
200.85,288.32,9,2.62
162.72,227.74,3,5.71
206,197.72,3,2.93
22.82,289.93,6,4.62
9.76,223.33,0,2.88
60.82,231.27,3,6.13
368.35,193.07,0,2.21
16.14,214.61,3,4.69
323.36,152.45,6,0.72
269.91,217.76,3,5.21
325.36,200.99,9,6.16
340.14,158.18,3,1.2
290.07,268.5,9,4.81
71.31,249.94,9,5.44
81.56,190.48,9,4.86
71.15,265.84,9,4.68
141.7,200.64,9,6.2
264.99,264.65,9,5
226.01,281.6,6,4.46
202.28,287.39,3,4.06
206.42,220.95,9,6.63
289.91,222.63,6,10.19
248.19,208.68,3,4.36
264.61,276.41,9,3.99
116.07,228.86,9,6
144.05,265.77,0,3.18
83.96,209.67,6,10.86
138.54,207.85,0,2.79
59.56,283.7,0,2.47
159.12,286.94,3,4.09
110.75,193.21,0,2.27
370.81,256.38,6,7.68
187.23,232.09,3,5.95
186.08,263.46,6,6.1
194.82,268.15,6,5.74
387.76,246.79,0,4.09
10.15,211.21,6,11.25
35.44,286.57,0,2.16
223.86,210.58,0,2.68
50.22,274.11,3,4.27
108.45,188.87,9,4.71
11.4,243.22,9,5.62
111.97,172.62,0,1.79
229.38,178.92,0,1.9
215.41,159.45,9,1.63
172.66,195.8,0,2.53
366.2,221.3,0,2.95
387.79,197.48,0,2.42
180.22,187.68,6,7.31
317.92,234.95,6,9.91
9.46,260.38,6,5.53
195.77,220.67,6,10.82
399.06,282.86,9,3.21
26.28,163.36,3,1.31
136.5,255.26,6,6.88
256.39,267.8,6,5.22
103.07,243.85,0,3.77
125.55,240.35,3,5.38
64.65,164.15,0,1.4
322.27,248.54,6,8.43
179.72,184.81,9,4.47
380.78,162.33,9,1.92
278.24,246.09,9,5.62
156.65,286.78,9,2.93
399.34,286.85,0,2.27
162.17,282.82,3,4.11
75.09,212.21,3,4.64
169.33,220.61,3,5.38
114.82,231.87,0,3.36
18.18,184.04,0,1.86
74.26,197.05,3,2.74
395.07,220.81,0,2.99
332.25,200.15,6,9.86
279.86,219.41,3,5.05
380.37,172.14,3,1.46
56.49,228.94,3,5.97
323.95,199.51,0,2.56
317.92,234.95,0,3.49
274.95,214.43,9,7.02
72.77,210.72,0,2.75
378.91,205.26,0,2.39
352.39,220.84,3,5.5
206.15,175.77,9,3.31
296.55,194.96,9,5.62
317.81,150.9,3,1.05
175.27,233.82,3,5.77
324.71,278.44,6,4.68
246.61,277.81,9,3.8
146.58,254,6,7.49
382.26,228.51,0,3.28
257.6,211.07,6,10.57
270.33,248.97,3,4.84
207.2,208.45,3,4.35
181.06,277.11,9,3.9
6.96,242.45,9,5.85
264.74,263.25,0,3.26
129.87,273.61,0,2.77
93.99,182.49,3,1.76
201.25,199,3,2.9
221.54,183.41,0,1.93
191.98,238.73,6,8.51
322,285.52,6,4
180.89,208.06,6,10.89
148.19,193.56,6,9.24
140.28,223.89,0,2.98
324.07,275.78,9,4.16
218.68,153.36,6,1.46
261.1,212.05,0,2.81
89.01,182.08,9,4.07
100.72,204.77,6,10.81
135.31,278.65,6,5.04
256.33,269.48,0,3.09
291.28,218.91,0,2.92
267.02,259.67,6,6.44
99.35,192.77,3,2.18
133.76,258.65,3,4.71
307.31,224.38,6,11.33
357.93,153.71,6,1.58
76.28,209.88,6,10.91
12.57,157,6,0.57
363.21,280.94,3,4.16
120.55,201.9,0,2.33
266.02,269.31,3,4.21
82.27,277.46,0,2.69
367.81,171.54,3,1.58
348.77,280.42,3,4.24
388.42,221.65,6,12.08
21.7,224.87,9,6.37
266.75,250.36,0,3.92
118.85,217.72,6,12.16
303.34,202.53,9,6.37
48.08,253.72,6,6.87
183.78,273.96,6,5.25
138.78,207.92,0,2.59
143.45,276.36,3,4.09
60.42,235.51,6,9.54
366.57,250.4,3,4.75
69.32,172.2,6,2.96
299.04,201.97,0,2.4
235.49,218.77,9,6.8
199.41,189.85,9,5.07
290.39,280.9,0,2.52
247.84,269.62,6,5.46
72.57,213.17,0,2.78
228.02,168.07,0,1.48
8.03,194.82,6,8.44
209.76,210.37,6,12
373.25,286.92,0,2.46
312.13,191.6,9,5.21
44.82,261.57,9,5.11
127.73,178.71,6,4.91
27.76,267.36,3,4.44
190.45,157.98,9,1.66
51.03,195.87,6,8.89
243.59,290,9,2.5
99.4,203.37,6,11.68
263.99,162.96,0,1.32
363.03,157.28,6,1.2
359.35,242.37,3,5.12
20.79,241.19,6,8.55
172.49,244.4,3,5.07
67.8,167.79,0,1.27
167.64,296.4,3,4.13
119.6,250.64,9,5.45
352.06,158.48,3,1.46
292.66,205.75,9,6.67
290.29,185.65,0,1.89
374.96,280.62,6,4.07
208.03,153.29,6,1.82
155.72,217.44,0,2.96
208.12,188.38,0,2.09
99.72,157.35,6,1.49
387.41,188.04,3,1.68
65.71,201.13,6,10.09
326.83,197.62,6,9.62
97.39,256.31,0,3.58
283.84,226.2,9,6.13
166.46,272.14,6,4.89
126.77,167.72,6,2.83
26.83,209.53,0,2.62
111.99,198.11,6,9.18
350.95,168.49,6,2.31
389.65,256.94,9,5.13
170.09,176.26,3,1.63
299.04,201.97,6,9.84
326.98,213.45,0,2.65
271.86,225.43,6,10.43
18.18,184.04,6,5.54
65.05,185.37,0,1.91
73.81,193.42,0,2.12
175.76,279,6,4.69
20.1,233.59,3,5.8
34.14,209.25,0,2.71
221.52,265.98,6,5.9
315.02,172.36,3,1.62
323.97,275.69,3,4.18
336.28,174.79,9,3.21
133.3,260.59,9,5.12
278.39,172.06,6,3.1
313.45,157.28,9,1.94
351.78,187.33,9,4.55
207.62,262.41,0,3.28
46.55,266.82,0,3.24
66.3,167.18,3,1.5
150.93,155.7,3,1.15
373.93,150.42,9,1.38
360.01,259.18,6,6.32
38.53,275.36,9,4.12
247.44,230.82,6,10.82
203.43,157.21,0,0.97
202.33,250.43,9,5.6
127.14,187.75,9,4.58
155.21,220.53,9,6.58
41.83,240.84,0,3.6
253.26,258.48,6,7.15
95.15,150,9,1.17
219.55,271.11,3,4.27
259.73,195.55,3,2.42
344.55,279.7,0,2.49
80.65,200.99,6,9.7
363.37,232.02,3,5.88
