Concentration,Temperature,Dose(mol%),Response
92.85,59.97,3,84.85
33.67,158.39,0,1.89
48.9,365.3,1,2.86
32.79,56.63,12,21.37
51.96,199.67,12,24.51
112.63,318.67,0,5.55
54.24,18.4,3,69.15
40.67,205.06,0,1.82
148.96,130.14,12,47.42
44.52,147.09,1,1.85
195.8,192.53,12,50.62
142.92,80.9,0,8.31
121.82,158.5,3,100.21
99.67,367.3,0,4.99
160.61,225.36,0,8.84
151.68,335.25,1,19.97
93.72,363.38,1,8.86
80.68,213.05,1,6.91
104.4,360.14,12,35.82
161.57,141.37,3,129.53
75.34,187.2,12,28.83
128.65,41.0,1,14.56
123.92,289.37,1,14.24
43.73,284.87,3,58.61
55.64,241.67,12,25.57
130.67,299.34,0,7.29
47.06,340.45,3,66.54
126.2,374.51,0,6.37
125.68,283.35,1,13.94
196.5,314.26,1,24.63
132.42,109.69,1,15.77
143.71,278.46,0,7.9
73.59,161.39,3,76.44
94.51,7.24,3,86.76
140.56,98.84,1,17.56
59.05,275.36,0,2.84
136.53,192.2,3,110.73
158.07,24.11,3,128.51
47.94,357.01,0,2.43
162.44,154.96,12,49.28
88.82,130.99,12,31.77
176.71,207.02,12,50.15
116.4,354.39,1,12.46
29.29,32.69,0,1.61
122.35,204.2,12,41.85
116.92,263.51,12,40.77
86.54,53.77,1,6.61
150.1,234.77,0,8.6
181.09,204.51,12,50.44
88.99,240.65,12,32.58
182.67,241.95,12,50.69
119.98,186.96,1,13.49
156.75,159.53,3,123.85
111.23,183.2,12,38.66
181.88,228.93,12,50.21
161.92,183.37,0,9.21
157.37,390.14,0,9.19
182.84,118.61,3,147.81
32.79,152.17,0,2.06
86.98,7.02,0,3.99
56.87,370.31,12,24.9
117.97,307.31,1,13.44
47.24,351.59,0,1.66
69.21,43.71,0,2.79
65.8,264.52,12,27.0
138.46,66.99,3,111.53
187.31,367.57,3,157.31
109.65,118.85,1,12.07
169.62,275.04,12,49.01
78.66,32.7,1,5.65
178.73,73.85,0,9.7
144.58,286.33,3,114.05
91.62,124.69,3,87.55
121.91,303.3,3,96.9
153.78,295.38,3,120.56
114.12,366.2,3,95.88
75.6,143.13,0,3.48
64.57,223.08,0,2.78
25.88,13.45,0,1.03
53.1,105.15,12,24.88
157.28,287.25,3,124.89
165.25,90.66,3,131.95
33.14,224.51,3,48.83
160.43,193.82,0,9.28
188.01,149.38,0,9.97
172.95,69.94,3,142.12
106.59,346.74,12,37.48
64.22,150.5,3,71.37
145.9,172.94,0,8.37
155.79,263.62,0,8.75
41.81,360.17,1,2.65
197.72,16.53,12,51.03
78.14,145.62,12,29.33
44.08,259.85,3,58.59
96.0,335.56,1,8.42
181.18,320.39,0,9.9
194.92,133.7,3,162.14
79.71,147.57,1,6.1
82.69,228.31,3,82.02
189.58,200.97,0,10.11
117.36,140.28,1,12.41
47.15,210.45,12,23.44
149.57,58.14,12,46.4
115.61,278.68,12,39.38
133.29,189.28,3,104.86
56.6,257.32,3,71.5
96.61,21.9,3,90.27
192.65,176.68,12,51.85
55.38,18.12,1,2.8
135.48,167.71,0,7.09
148.7,144.17,0,7.93
126.46,11.7,1,14.44
167.61,250.93,0,9.01
115.87,27.0,0,5.75
146.86,317.14,12,47.67
176.71,170.43,1,22.23
77.44,307.75,12,29.9
131.37,388.04,12,43.18
181.7,85.88,0,9.95
133.29,81.62,12,44.3
95.65,370.23,3,88.61
48.72,324.05,1,2.13
39.88,271.03,1,2.01
81.9,34.77,3,85.56
120.95,88.19,3,98.86
68.6,389.76,3,72.92
190.37,154.46,12,50.48
61.77,316.63,1,5.25
164.72,91.93,0,8.77
52.75,69.32,3,65.81
170.06,104.77,12,48.68
175.49,95.67,3,142.62
78.75,349.43,3,84.99
28.06,323.36,1,1.32
35.94,170.84,3,56.45
196.24,370.59,0,10.13
159.47,72.46,1,20.78
154.39,319.13,3,120.61
35.33,357.02,3,53.79
183.8,32.87,1,23.02
87.07,144.37,12,32.75
61.59,269.01,1,4.79
157.8,154.24,0,8.83
171.11,287.68,12,50.71
133.73,297.19,12,44.72
130.58,391.66,12,42.79
72.89,163.02,0,3.08
34.37,302.22,3,50.97
61.16,45.65,12,26.79
162.53,67.21,3,128.02
36.47,88.84,3,52.69
26.75,129.79,12,20.6
172.25,256.39,3,138.44
138.63,160.87,12,44.64
142.66,189.57,0,7.53
187.74,291.4,1,23.71
47.15,331.71,0,2.03
74.99,313.46,3,81.35
63.61,216.68,0,3.16
49.07,200.61,3,65.07
79.98,295.07,12,31.44
84.27,391.85,12,29.97
37.61,188.47,0,1.67
48.37,280.99,3,60.64
81.38,47.9,1,6.47
163.84,181.6,0,8.81
42.07,139.68,1,2.74
166.65,223.11,1,21.08
36.29,204.3,1,2.05
152.73,259.46,0,8.07
155.35,179.48,3,125.88
136.18,277.99,3,110.23
41.37,222.08,3,56.92
182.49,227.19,0,9.5
84.88,245.31,12,30.63
174.09,16.78,12,50.27
97.4,138.78,1,8.57
27.89,379.55,3,42.54
76.3,28.71,0,3.05
148.35,347.31,1,19.03
93.11,178.22,0,4.47
162.44,234.64,3,132.03
134.17,164.78,0,7.05
76.83,72.75,3,79.98
47.59,228.02,1,3.02
142.75,286.56,0,8.31
144.85,240.2,12,46.08
193.35,142.2,1,24.3
120.51,383.03,0,6.58
150.28,206.24,3,119.91
105.98,232.78,12,37.15
130.93,170.47,3,101.78
111.67,71.7,0,6.2
113.51,145.01,12,39.08
55.03,141.91,0,2.19
147.12,169.3,12,46.78
164.28,396.5,3,126.44
104.14,168.57,1,10.14
63.69,149.71,3,67.99
155.0,146.58,3,124.87
175.14,397.95,1,22.17
85.84,244.25,1,7.06
56.17,59.41,12,25.37
52.14,175.59,1,3.03
58.79,251.41,12,26.01
162.27,249.54,3,127.14
185.47,153.84,0,9.47
121.65,103.48,0,6.21
49.95,375.39,12,24.15
164.98,264.67,0,9.01
98.97,142.85,0,4.55
176.01,24.92,1,22.85
180.74,336.35,3,147.36
150.89,371.27,0,7.93
108.17,12.05,12,37.63
120.34,92.67,3,98.11
173.39,27.27,1,23.0
144.67,107.8,0,7.99
70.09,10.55,1,5.53
33.75,12.57,3,47.22
124.19,88.07,1,14.36
53.19,243.16,0,2.41
26.93,116.86,1,1.92
162.53,196.54,12,48.81
98.89,59.47,3,91.71
178.81,195.14,3,148.72
66.5,213.35,0,2.99
165.07,76.75,1,21.04
64.04,279.89,12,26.68
189.67,292.59,0,10.07
150.98,91.09,12,48.17
38.66,268.85,1,3.33
158.24,140.65,3,125.79
87.33,139.24,0,4.27
142.13,238.86,0,7.93
95.39,347.83,12,33.54
155.27,12.7,0,8.29
121.3,23.14,3,100.81
187.92,262.46,1,24.0
129.35,381.13,0,7.64
73.67,53.61,3,76.34
97.31,138.54,1,9.61
56.6,257.32,1,4.41
127.08,370.84,0,6.68
110.53,4.57,0,5.41
82.87,352.06,0,3.57
60.11,361.02,3,69.06
165.51,207.62,1,20.7
186.61,388.46,0,10.26
173.3,147.01,1,22.08
112.63,216.76,1,12.24
53.63,0.63,0,2.17
185.12,88.5,0,10.03
53.36,381.95,3,64.74
151.76,377.85,1,20.31
62.29,176.61,3,69.46
141.52,296.9,0,7.28
128.3,185.49,12,43.4
112.11,346.12,0,5.8
30.08,260.39,0,1.65
29.38,337.84,12,20.34
154.21,384.37,0,8.8
33.23,114.86,0,1.95
185.29,240.75,1,23.43
45.05,119.97,0,2.26
90.05,201.09,3,86.48
110.71,238.74,3,96.95
116.22,127.5,3,99.35
97.22,312.57,12,34.45
158.59,113.95,3,130.36
96.09,49.87,3,92.7
43.47,276.76,1,3.18
189.67,349.33,3,160.9
127.34,163.87,0,6.69
29.55,375.8,1,1.66
174.87,312.3,3,138.53
140.03,87.07,0,7.54
191.95,147.18,3,157.69
173.65,385.25,1,22.31
90.48,362.59,3,85.45
185.47,299.23,1,23.47
124.62,28.9,12,42.16
145.81,65.41,3,116.34
125.68,252.1,0,6.96
198.95,147.04,12,50.46
64.13,301.35,1,4.01
75.43,58.83,1,5.88
177.59,74.62,12,49.99
132.68,207.69,0,7.05
62.99,33.64,1,5.11
53.1,285.84,1,3.54
134.6,46.92,1,15.3
167.17,343.95,12,49.34
27.54,18.58,3,43.75
152.55,276.35,0,8.3
65.45,269.58,12,26.87
94.42,244.58,3,86.32
59.4,310.57,3,73.55
44.35,216.28,0,1.74
106.42,236.26,0,5.65
104.84,249.66,1,10.31
102.48,376.31,0,4.97
94.51,174.8,0,4.57
139.77,357.93,3,112.27
153.25,313.5,12,48.05
105.98,8.99,3,90.87
159.29,165.42,1,20.27
189.49,226.01,3,155.88
43.03,375.81,12,23.08
63.43,61.66,0,2.26
139.42,27.49,0,7.72
91.53,13.85,12,31.95
99.85,76.28,1,8.89
128.3,385.2,1,15.08
190.2,98.67,1,24.05
48.9,260.89,0,2.11
84.7,68.36,3,82.39
35.24,246.12,0,1.38
26.05,332.98,3,43.45
177.76,192.54,1,22.62
148.09,343.21,0,8.35
172.07,138.44,3,140.88
107.55,331.9,3,94.22
34.45,71.78,12,22.73
136.27,344.05,1,16.95
86.02,232.5,3,81.67
178.99,219.18,3,149.62
89.78,146.27,0,4.4
101.51,52.28,12,36.26
27.19,314.07,1,1.95
63.96,378.9,1,4.8
196.59,47.33,1,24.5
105.72,326.71,0,5.28
144.15,84.26,1,18.57
167.52,38.67,1,21.43
190.46,39.67,3,159.55
57.74,298.38,12,24.76
25.18,292.8,3,43.46
120.95,211.86,12,41.33
145.64,35.35,0,8.15
143.97,236.94,3,114.03
105.89,170.09,3,96.28
133.2,252.86,12,44.07
158.68,122.92,1,21.21
194.05,52.18,12,50.46
30.52,376.29,12,21.6
62.56,46.83,3,68.01
39.44,391.64,0,1.48
89.52,326.64,1,8.22
70.26,324.22,3,73.58
26.66,95.4,12,20.98
153.86,351.41,1,19.85
123.05,355.5,3,101.59
103.35,121.99,12,36.73
132.07,377.45,3,105.92
119.46,158.98,12,40.89
103.88,306.22,0,5.08
134.69,50.07,3,107.73
118.06,387.68,12,40.42
138.89,374.48,1,17.69
85.41,115.31,12,31.46
179.16,337.74,1,23.02
97.14,122.33,12,34.6
156.93,186.0,0,8.64
138.54,41.83,3,109.17
111.32,275.36,1,12.26
39.79,383.12,12,22.33
32.44,199.13,0,1.25
166.47,397.66,3,135.07
97.14,214.96,1,8.58
125.15,209.18,12,42.03
89.87,120.55,3,83.77
156.23,345.33,3,125.41
64.57,169.69,1,4.04
58.0,9.31,3,69.53
106.85,108.92,1,10.35
185.56,324.71,3,152.33
162.09,267.02,3,130.23
180.57,175.04,3,148.49
57.83,387.07,12,25.2
36.99,281.21,1,2.17
176.36,246.09,1,23.27
154.83,272.94,12,46.72
119.81,354.32,12,41.71
172.25,256.39,1,21.45
102.39,27.6,0,4.29
95.91,98.94,0,4.64
142.22,12.26,1,17.97
112.28,54.73,3,97.21
171.2,346.31,12,50.37
105.28,379.38,1,10.37
132.77,91.98,3,102.85
32.97,3.42,12,21.2
48.46,143.8,3,62.7
98.19,397.3,0,5.4
69.12,273.89,3,73.64
38.92,291.29,3,56.12
110.09,230.4,12,37.61
146.07,181.79,12,47.66
181.44,245.57,3,147.94
64.31,131.22,12,26.32
53.45,382.02,0,2.48
159.99,58.77,0,9.08
187.57,220.27,0,10.14
191.77,176.3,12,50.73
88.82,65.46,1,7.25
37.17,388.71,3,50.73
44.61,157.56,12,22.81
114.99,268.59,0,5.82
184.94,170.58,12,51.05
106.68,210.28,3,89.74
99.59,246.35,12,34.73
42.77,359.42,3,60.46
164.54,289.74,3,127.82
165.42,27.77,1,20.92
98.8,384.43,1,9.22
111.49,287.38,0,5.39
44.43,38.61,0,2.16
44.78,389.2,3,60.33
29.99,164.71,0,1.84
62.03,197.77,1,4.73
177.85,7.68,1,23.0
78.58,98.73,0,3.51
139.77,36.93,12,45.56
197.64,110.1,0,10.29
170.94,372.24,1,21.51
74.29,5.82,3,76.98
80.07,174.87,12,29.76
124.36,30.45,1,14.65
54.5,147.62,0,2.34
50.13,217.06,3,66.24
117.27,136.14,12,39.93
88.82,193.63,0,4.07
64.74,44.48,1,4.29
187.66,336.8,1,23.71
61.24,358.48,12,25.87
120.6,212.42,12,41.28
62.03,183.41,0,2.66
135.92,191.98,1,16.12
42.51,256.81,1,2.75
155.62,352.39,0,8.73
103.61,5.2,1,10.54
74.64,174.99,1,5.16
90.57,249.7,3,83.91
121.21,42.19,12,41.43
40.23,69.91,12,22.07
92.93,91.7,1,7.85
57.13,337.33,12,24.83
72.54,245.44,0,3.13
108.17,331.0,0,5.87
142.92,148.42,3,114.77
160.43,220.09,1,20.78
178.99,332.38,0,9.67
69.82,373.09,3,74.83
155.27,340.22,12,48.04
175.05,23.27,1,21.94
76.04,35.6,12,28.45
169.88,374.78,1,21.5
190.02,373.72,0,10.19
79.36,51.43,12,29.54
36.82,129.28,1,3.09
46.27,148.06,1,3.17
95.12,12.46,12,33.98
93.9,160.34,1,8.58
165.77,370.85,0,8.71
172.34,94.77,0,9.78
59.93,301.82,1,4.63
67.02,123.46,12,26.99
109.22,98.14,3,95.34
97.22,367.94,1,9.54
168.75,285.13,12,49.47
25.09,380.29,1,1.73
50.91,308.0,1,3.45
154.65,275.01,12,47.67
56.52,4.68,0,2.1
126.11,301.09,1,15.04
34.1,152.51,12,20.89
123.14,99.02,0,6.35
182.32,136.15,12,50.22
149.92,324.53,12,47.59
124.45,297.15,0,6.91
72.54,268.68,3,79.6
32.09,26.08,0,1.79
136.79,114.29,12,43.94
44.78,389.2,1,2.7
198.51,158.1,12,50.97
98.54,5.24,1,8.97
30.43,116.99,12,20.09
109.57,290.82,0,5.71
60.54,91.2,12,25.76
161.22,244.39,3,131.05
134.25,368.34,1,16.34
169.53,377.77,12,49.35
47.85,240.77,0,2.18
154.39,319.13,1,19.53
110.18,85.98,1,10.95
78.23,282.79,0,3.82
94.25,67.21,12,33.25
151.76,237.26,0,8.25
72.8,379.16,12,28.29
186.96,114.36,3,153.66
62.21,360.03,0,2.83
33.23,308.39,1,1.97
134.08,200.05,0,7.4
114.56,388.42,3,100.94
177.33,361.74,0,9.4
61.42,153.68,0,2.81
163.58,343.92,0,8.64
63.78,148.26,1,4.4
118.93,108.44,0,6.73
74.11,244.44,12,28.7
114.47,274.18,0,5.81
64.83,55.68,0,3.26
52.05,138.09,0,2.49
159.9,323.61,0,9.25
175.66,107.49,12,49.48
66.15,91.1,0,3.2
148.17,322.27,1,19.87
137.76,382.77,12,43.79
157.54,301.6,12,47.74
176.01,318.99,12,49.58
91.62,3.14,0,4.15
122.0,315.85,12,41.61
159.99,226.92,1,21.41
47.85,396.02,1,2.78
71.92,296.19,0,3.48
50.65,144.08,3,67.04
58.18,112.74,1,3.41
84.35,44.6,0,3.96
116.57,93.18,3,98.61
101.16,149.32,1,9.35
85.67,387.65,12,31.6
131.8,34.63,12,43.6
107.29,45.57,12,36.4
136.44,382.01,12,45.27
108.08,238.97,3,95.07
88.38,229.79,3,85.84
184.33,82.27,3,152.07
79.8,185.01,1,5.88
195.89,389.88,0,10.81
186.43,64.49,0,10.41
151.5,259.8,0,8.01
136.71,96.82,3,113.07
115.52,30.78,1,12.12
129.88,299.86,3,103.96
104.75,107.23,1,10.28
114.29,23.11,12,38.9
145.29,98.89,1,19.25
29.46,310.05,1,1.8
77.18,267.02,3,78.68
83.83,32.09,3,82.26
35.59,315.2,12,21.86
189.76,383.25,0,9.47
27.01,146.54,3,41.0
163.67,395.11,3,132.53
94.95,369.0,3,89.23
163.49,45.94,12,49.02
42.68,170.81,12,22.7
95.04,317.04,0,4.67
134.25,368.34,3,107.13
130.49,335.16,0,6.82
62.38,355.08,1,4.63
184.85,16.78,3,150.67
125.59,286.71,12,41.6
188.71,85.65,12,51.03
131.37,88.31,1,16.25
158.33,40.57,3,124.41
178.9,43.89,1,23.43
170.5,128.9,12,48.71
32.18,132.36,1,2.85
25.96,25.06,0,1.29
194.57,64.09,0,9.73
150.45,266.75,3,117.28
142.92,115.66,12,45.13
153.34,390.87,3,124.68
172.77,26.47,0,9.82
62.99,384.45,0,2.79
68.33,141.34,3,75.61
46.97,154.04,1,3.23
152.2,345.13,12,46.91
30.08,18.09,1,2.19
142.13,28.88,1,17.67
154.21,21.28,12,47.76
55.55,250.34,3,67.46
92.67,183.87,0,4.0
147.56,246.26,12,46.52
139.24,140.21,0,7.92
121.39,247.37,12,41.34
94.6,348.85,1,8.97
34.63,397.07,12,22.02
119.37,15.87,12,39.94
70.35,190.38,12,28.08
174.35,255.02,12,49.55
172.86,305.92,1,21.84
181.09,254.88,1,23.24
77.0,57.15,0,3.74
152.9,260.49,3,118.45
33.05,376.4,12,20.7
81.99,52.94,12,30.09
102.3,294.77,12,35.68
132.59,17.67,12,43.43
83.48,53.78,12,30.66
124.45,340.48,3,102.2
179.95,277.93,12,50.33
173.82,100.18,12,50.02
104.23,21.85,0,5.46
108.95,263.33,12,37.79
75.25,90.41,0,4.17
131.02,180.55,1,15.2
173.12,159.47,1,22.43
51.88,129.18,1,2.81
99.41,26.83,3,90.42
120.16,210.02,12,40.14
106.15,264.79,12,37.24
148.0,189.85,1,18.71
134.17,13.01,3,105.06
118.23,6.62,12,40.6
63.78,148.26,3,71.99
131.54,272.2,1,15.8
140.47,18.44,12,46.44
27.36,205.69,1,2.09
29.55,375.8,3,44.83
146.69,129.21,0,7.59
161.74,22.79,0,8.26
115.87,26.14,1,12.55
135.57,182.09,1,16.04
42.6,44.29,0,1.82
27.1,182.43,1,1.62
47.67,38.87,3,64.41
129.79,350.53,0,6.42
161.39,335.94,1,21.48
147.82,294.56,1,19.41
79.19,299.3,3,80.79
70.35,394.91,1,5.23
136.09,116.67,3,110.46
170.85,83.4,3,136.85
29.03,124.68,3,44.78
138.46,66.99,1,17.56
93.9,78.77,0,4.15
137.84,31.43,1,15.9
138.63,254.57,3,110.35
156.75,159.53,1,20.0
165.07,56.49,0,8.83
185.64,262.59,3,154.37
60.72,362.15,3,70.81
57.57,266.36,12,25.04
178.03,169.99,12,50.62
142.66,297.08,3,114.61
163.58,198.71,3,131.71
81.29,257.66,0,3.54
130.32,343.53,0,7.4
131.72,109.3,3,109.13
72.89,268.63,1,5.36
97.92,70.55,3,89.3
160.26,61.97,0,8.93
95.65,64.67,0,4.41
156.14,99.85,12,47.99
183.19,74.08,1,23.34
146.25,91.94,12,46.39
78.49,319.76,3,79.84
147.3,99.49,3,114.11
197.11,122.57,0,10.27
63.87,325.12,3,69.6
110.71,388.1,0,5.74
74.72,321.39,0,3.61
66.5,211.08,1,5.57
95.47,294.58,3,88.85
57.13,362.14,3,68.73
69.73,162.51,12,27.67
38.39,330.39,0,1.83
151.94,181.91,0,8.23
137.58,35.15,1,16.0
103.79,201.11,12,35.85
129.79,387.55,1,15.57
140.38,32.65,3,109.86
116.92,349.88,3,96.16
175.4,177.12,0,9.49
51.79,34.84,0,2.39
78.58,27.18,12,29.09
140.47,24.14,3,110.76
97.49,295.0,3,89.75
74.37,140.24,1,6.23
199.82,157.83,0,10.12
154.3,94.13,12,47.92
144.15,108.78,0,7.4
154.74,273.99,12,47.93
75.51,370.64,3,79.83
163.93,304.98,0,8.75
108.25,278.88,0,5.74
69.65,24.98,0,3.21
43.56,260.78,1,3.09
103.7,34.2,1,9.55
79.63,247.3,1,7.14
58.53,350.99,3,68.38
174.09,202.46,1,22.66
29.2,226.03,12,21.0
193.61,241.41,0,10.4
168.92,35.65,1,21.01
105.1,265.22,0,5.85
127.6,252.73,3,102.08
176.71,170.43,3,144.11
44.08,349.1,0,2.56
171.64,112.42,0,9.41
185.38,329.45,0,10.21
148.09,23.12,12,47.52
133.73,308.37,1,15.82
84.62,290.51,12,30.87
86.89,323.95,1,8.24
145.11,341.75,3,111.74
171.29,351.19,3,138.55
77.96,136.98,12,29.02
126.81,201.05,0,6.57
73.06,373.22,12,28.28
39.01,147.11,3,52.94
128.65,206.0,0,6.67
101.86,10.84,3,92.56
164.37,227.09,0,9.74
151.33,398.25,0,8.82
116.48,246.35,3,99.04
183.02,309.86,3,147.85
142.4,231.52,0,7.73
54.41,3.45,12,24.62
92.85,59.97,1,7.41
135.39,319.02,3,107.63
145.99,387.76,1,19.74
144.76,164.18,12,45.98
197.11,73.79,1,24.49
64.66,362.54,1,4.79
94.25,392.46,0,4.4
78.58,251.16,3,80.56
40.67,55.01,1,3.85
102.83,97.27,3,95.12
97.22,339.22,0,5.27
170.06,122.21,3,140.7
145.9,188.05,12,45.39
101.86,389.44,12,34.78
111.32,275.36,3,98.63
95.74,180.34,1,9.23
159.2,109.05,3,126.91
105.63,194.97,3,91.75
136.62,41.97,1,16.79
150.01,255.65,1,19.39
97.75,180.98,1,8.43
63.17,29.11,1,5.19
107.99,349.56,3,94.47
192.82,237.22,1,23.81
41.02,121.58,0,2.24
190.37,396.72,3,158.34
38.74,348.07,12,21.75
178.29,86.08,1,22.89
165.68,114.28,0,9.43
86.72,363.74,12,32.1
193.87,77.17,12,51.04
104.75,124.18,12,35.22
56.43,230.19,3,66.69
191.16,142.15,3,160.28
101.43,303.79,12,34.2
44.26,263.05,1,3.8
169.8,35.06,1,21.81
128.13,304.41,1,14.46
120.69,335.92,0,6.49
115.52,103.96,12,39.85
181.09,330.62,0,9.41
197.9,376.27,3,165.12
80.42,212.85,3,80.18
45.14,317.92,3,59.06
90.4,217.42,3,85.11
79.98,197.53,0,3.53
156.75,321.96,12,48.55
68.25,204.51,0,2.61
94.25,234.49,1,8.5
139.42,320.69,3,110.36
73.32,220.76,1,6.1
111.23,386.81,0,5.43
171.29,351.19,1,21.62
48.81,195.07,0,1.89
137.32,128.49,12,44.63
79.98,14.67,3,80.9
94.25,234.49,3,89.19
86.54,6.78,0,4.37
187.48,302.02,1,24.24
127.34,114.82,1,15.21
99.24,200.88,1,8.77
33.32,317.14,0,1.61
193.61,258.24,12,50.6
62.12,23.02,3,72.59
188.44,65.93,3,158.7
64.13,77.85,0,2.7
78.66,296.36,0,3.58
29.11,208.03,3,47.9
163.93,161.73,1,20.82
60.89,127.73,3,72.09
187.48,188.99,12,49.96
32.7,354.89,3,48.03
30.69,359.22,12,20.14
72.62,247.25,3,71.82
189.84,210.87,12,50.76
188.71,158.1,0,9.58
179.51,119.98,0,9.71
175.31,278.01,1,22.33
50.04,362.57,12,23.52
136.62,109.99,12,44.71
59.23,6.13,12,24.19
179.25,39.23,3,147.4
162.88,38.29,1,20.87
33.32,197.52,1,1.43
74.55,156.9,3,73.69
147.82,60.64,12,46.21
28.68,209.36,0,1.4
166.91,89.5,12,49.14
181.53,198.08,12,50.12
87.24,238.26,1,7.37
37.78,243.83,1,1.74
133.64,310.64,3,105.81
132.68,357.64,1,15.62
88.64,91.29,0,4.6
163.49,237.79,3,129.46
82.87,200.4,12,30.96
52.75,157.83,0,2.07
193.17,371.76,12,50.45
64.22,23.06,0,2.54
45.49,78.1,1,3.77
101.08,378.45,1,10.42
43.12,265.4,3,59.7
74.64,69.74,12,29.67
169.8,174.22,12,49.34
51.53,254.97,1,3.38
107.38,221.67,1,11.14
122.61,380.77,12,41.29
164.54,289.74,1,19.89
131.98,172.93,1,16.07
107.99,349.56,1,10.81
131.1,71.7,0,7.57
90.66,210.14,12,32.8
199.65,176.84,0,10.22
99.15,100.4,0,4.64
180.04,360.97,0,9.57
101.51,10.15,3,92.42
72.62,382.92,12,29.71
51.18,135.54,0,1.74
127.16,202.99,1,15.03
37.69,14.75,3,55.24
40.15,90.6,1,2.64
85.32,74.82,1,7.37
164.98,224.71,12,48.67
111.93,8.28,12,38.3
49.95,110.73,0,2.28
194.22,168.46,12,50.99
116.48,246.35,1,13.0
139.33,285.63,3,110.38
95.91,393.94,3,89.34
152.55,270.61,3,121.31
35.24,74.63,1,1.67
87.59,371.81,1,8.01
113.42,88.48,3,98.93
66.93,317.68,0,3.13
161.39,32.91,0,8.86
195.19,315.45,3,164.43
52.66,163.58,3,67.75
32.44,130.07,3,47.84
84.27,159.14,1,7.87
149.31,126.46,1,19.63
42.07,178.82,0,1.67
33.4,209.09,1,2.32
108.34,70.15,1,10.28
112.98,263.51,3,96.94
62.03,39.42,12,25.97
59.67,57.44,12,26.29
122.87,106.24,3,99.72
34.63,115.9,3,47.02
88.56,26.28,0,4.5
184.59,27.95,12,50.03
66.15,4.86,1,4.57
85.06,228.65,1,6.99
175.58,137.35,0,9.85
82.52,145.23,3,82.16
62.64,57.2,3,69.21
187.31,53.77,12,50.03
122.79,160.6,12,41.57
78.49,256.49,12,30.55
135.04,196.64,1,16.6
76.65,55.53,3,79.07
123.4,262.1,3,102.75
61.33,179.38,1,3.79
112.72,300.5,12,38.69
137.41,186.52,0,7.01
96.0,256.25,0,4.49
92.06,211.86,0,4.41
71.92,339.86,1,4.93
138.46,131.17,12,45.66
179.78,65.76,0,9.91
192.21,385.89,12,50.78
170.06,122.21,1,22.33
95.47,390.92,0,4.11
103.88,10.61,1,9.79
170.59,378.9,12,49.45
196.85,233.3,0,10.4
137.32,3.91,3,110.78
139.51,135.78,3,112.62
146.6,266.74,0,8.1
98.45,148.69,0,4.8
73.06,26.4,0,3.88
145.46,187.77,12,46.03
183.28,69.64,3,148.12
139.59,325.93,1,17.57
197.55,332.68,3,159.67
87.42,175.83,12,31.07
174.7,60.81,3,144.91
169.27,312.81,3,139.65
103.7,15.03,0,5.29
57.22,144.76,12,24.81
191.25,337.87,0,10.17
83.92,79.69,0,3.74
177.15,301.55,0,9.5
50.91,214.65,12,23.48
146.69,326.3,12,47.09
149.92,380.72,1,18.93
106.24,253.39,3,97.13
105.98,360.78,0,5.43
116.75,348.04,3,100.31
135.74,27.62,0,7.96
56.52,155.27,1,3.89
179.86,338.21,12,49.19
161.39,297.81,12,47.25
126.73,134.05,1,13.96
93.02,146.42,12,33.33
191.51,304.4,1,24.57
191.07,75.21,1,24.73
161.48,183.83,0,8.51
33.49,253.83,0,1.32
191.25,313.52,1,23.81
157.1,84.06,12,48.78
155.79,241.38,1,20.9
186.43,98.46,12,49.82
106.15,216.65,3,94.72
152.11,73.66,12,47.3
35.42,352.97,0,1.63
154.74,110.81,0,8.43
85.06,49.75,0,4.11
87.33,188.63,1,7.15
67.81,143.33,12,27.7
100.99,344.71,3,93.63
44.96,118.9,0,1.4
102.48,71.42,3,96.49
149.57,59.34,1,18.99
108.78,18.79,3,95.72
118.58,294.41,12,40.56
181.62,207.36,3,152.3
37.43,50.48,12,21.33
126.55,330.33,1,13.37
125.94,171.04,0,6.61
162.01,290.0,0,8.94
39.62,74.61,1,3.39
192.12,59.56,1,24.12
90.92,133.96,1,8.46
40.93,369.88,3,54.52
167.96,140.49,0,9.44
31.13,302.7,0,1.88
119.9,280.46,0,6.25
28.94,289.13,0,1.89
117.45,152.06,12,40.57
101.51,312.15,0,5.04
117.62,191.95,1,13.07
185.29,323.36,0,9.74
104.4,90.45,0,4.91
72.1,302.8,12,28.23
40.32,69.75,3,57.75
56.6,168.81,0,2.01
194.22,241.4,1,24.22
106.77,283.73,0,5.67
93.2,356.99,12,32.53
194.75,30.82,1,24.38
171.99,277.98,1,21.66
57.13,223.46,0,1.93
127.34,114.82,3,103.39
43.82,94.9,1,3.01
123.31,183.58,0,6.44
185.29,240.75,3,153.76
140.65,63.82,3,112.32
165.25,63.52,12,49.11
53.8,119.1,12,25.57
32.79,188.89,1,2.4
189.67,376.18,12,50.59
182.23,57.37,12,50.52
146.77,359.17,0,7.83
191.86,383.23,1,23.24
59.49,136.32,3,72.29
167.08,383.05,3,133.75
90.75,375.93,1,7.23
26.58,8.73,0,1.71
112.89,9.96,12,39.28
174.7,4.11,0,9.08
144.93,388.56,1,18.36
112.54,47.22,12,39.06
82.6,258.37,1,6.86
33.14,224.51,1,1.99
36.56,223.9,0,1.91
67.9,114.31,0,2.97
