concentration(ppm),temperature,Dose(mol%),response
11.79,279.51,3,3.67
34.43,254.05,1,4.47
43.5,321.26,5,5.75
44.13,146.8,3,7.55
10.83,206.17,3,3.76
28.11,135.32,3,5.92
34.53,254.99,1,4.46
42.9,154.91,3,7.38
19.06,356.7,3,4.7
19.52,114.29,1,2.51
19.88,340.41,3,4.86
18.7,106.6,1,2.36
16.43,320.4,0,1.79
44.2,345.6,1,5.95
40.72,312.96,1,5.02
6.85,223.3,0,0.55
34.98,225.39,3,6.71
44.62,25.12,3,7.66
32.9,124.15,3,6.44
32.09,398.09,5,4.65
47.92,201.59,3,8.71
34.13,281.24,5,4.62
17.12,34.94,5,2.36
39.23,299.07,1,4.8
47.68,378.24,1,6.86
16.52,145.96,3,3.95
16.58,301.04,3,4.33
19.2,309.31,3,4.61
20.94,125.4,0,2.36
18.03,154.46,3,4.1
35.49,203.92,3,6.74
48.28,163.12,5,5.51
49.25,67.9,0,7.92
49.12,391.75,1,7.42
35.47,39.86,5,4.58
19.33,199.4,0,1.95
41.56,197.76,3,6.94
34.67,367.4,0,6.44
20.99,127.99,1,2.59
23.07,147.5,1,2.85
28.15,88.68,3,6.16
45.04,105.7,5,5.44
30.35,228.1,3,6.49
46.86,370.55,1,6.66
47.67,326.5,0,7.88
14.54,172.41,5,2.26
30.69,289.49,3,6.53
11.1,35.32,1,1.61
44.38,393.88,5,5.75
27.83,252.15,3,6.01
22.94,336.4,0,3.37
0.48,71.5,0,0.16
32.63,210.95,5,4.45
40.01,357.61,3,7.14
41.29,67.92,3,7.12
36.97,395.37,5,5.08
47.13,273.03,3,8.46
17.7,97.22,1,2.26
12.0,204.06,3,3.78
47.4,62.39,3,8.16
27.37,187.83,1,3.67
37.82,275.92,3,7.11
19.18,333.2,0,1.73
40.13,386.4,3,7.27
25.84,342.4,0,4.25
12.44,47.89,1,1.81
47.2,321.8,0,7.76
20.89,256.8,5,2.65
39.17,298.51,1,5.05
21.81,186.2,0,2.8
21.46,281.45,3,4.92
32.15,232.67,1,4.11
40.06,306.77,1,4.93
27.81,191.96,1,3.75
14.52,389.88,5,2.61
15.5,213.07,5,2.51
36.97,269.3,0,6.77
47.5,376.55,1,7.01
33.73,317.88,3,6.74
29.93,368.99,5,4.38
12.26,46.2,1,1.9
34.25,251.58,3,6.74
35.49,263.99,1,4.67
46.07,56.63,3,7.94
12.33,360.38,3,3.78
37.92,178.37,3,6.86
46.2,61.9,5,5.42
12.68,303.8,0,1.09
26.75,160.9,5,3.46
11.09,256.57,3,3.91
20.88,273.74,3,5.0
40.8,313.71,1,4.91
10.8,70.76,5,2.1
12.06,215.71,5,2.18
13.77,125.4,3,3.53
23.59,349.57,5,3.48
33.67,246.92,1,4.21
25.09,77.23,5,3.15
48.88,348.3,3,9.34
34.18,296.06,3,6.92
26.95,312.11,3,6.2
34.47,254.43,1,4.49
42.68,323.29,5,5.69
15.76,132.45,5,2.42
28.29,196.46,1,3.73
45.24,73.87,3,7.87
15.6,77.53,1,2.03
38.12,60.5,0,6.99
40.74,116.23,3,6.84
43.24,218.38,5,5.46
30.29,163.7,0,6.2
40.84,314.08,1,5.39
29.61,36.1,0,5.96
21.64,36.9,0,2.46
47.24,271.06,5,5.66
48.56,386.49,1,7.11
36.77,276.0,1,4.64
42.2,391.62,3,7.4
14.26,62.4,0,1.53
37.87,124.1,0,6.9
39.28,355.57,3,6.94
44.68,184.74,3,7.71
47.36,375.24,1,6.95
33.27,128.4,0,6.38
9.55,209.9,0,0.81
43.76,207.65,5,5.49
39.55,310.86,5,5.53
45.12,240.85,3,7.78
41.58,321.02,1,5.32
42.46,65.09,3,7.21
44.24,345.97,1,6.05
18.92,108.67,1,2.42
20.37,395.23,5,3.0
38.42,77.5,0,6.75
14.03,346.1,0,1.56
45.25,123.4,0,7.46
23.11,72.84,5,2.99
16.9,100.3,3,4.15
14.7,295.92,5,2.58
20.67,124.99,1,2.48
28.87,132.39,3,6.03
36.82,186.8,0,6.75
26.17,194.06,5,3.64
11.69,75.27,3,3.63
12.26,106.2,0,1.35
38.19,289.32,1,4.79
33.17,36.7,0,6.44
42.52,30.38,3,7.1
19.53,302.4,0,1.88
29.05,203.59,1,3.73
10.22,27.06,1,1.38
45.82,81.31,5,5.16
29.65,296.96,3,6.39
21.47,132.49,1,2.7
14.41,35.7,0,1.44
24.19,269.1,0,3.49
10.65,318.96,3,3.87
15.84,333.48,5,2.56
21.83,63.42,3,4.85
44.89,212.85,3,7.8
16.88,251.07,3,4.07
4.6,369.7,0,0.64
49.33,67.47,3,9.08
28.99,234.04,3,6.37
11.85,197.22,3,3.71
35.66,43.97,3,6.68
41.72,357.98,3,7.22
5.33,145.5,0,0.43
11.49,323.74,3,4.09
39.39,379.0,0,7.09
40.3,257.9,0,6.88
6.65,359.8,0,0.5
29.09,203.96,1,3.86
34.97,259.12,1,4.52
39.07,100.4,0,7.03
19.88,117.67,1,2.64
7.33,210.0,0,0.82
11.32,37.38,1,1.54
20.27,349.77,5,2.83
27.77,62.29,5,3.64
42.92,333.59,1,5.77
15.28,354.01,5,2.59
28.73,200.59,1,3.71
5.95,207.7,0,0.44
42.22,327.03,1,5.52
16.02,167.61,3,3.83
18.68,252.6,0,2.06
28.05,93.04,5,3.65
23.09,186.87,5,3.37
46.85,392.35,3,8.44
18.78,175.59,3,4.42
33.53,245.61,1,4.18
40.92,360.5,0,6.92
23.32,347.24,3,5.55
15.19,399.32,3,3.9
10.58,203.3,0,1.15
29.69,56.66,3,6.34
39.88,214.56,3,7.07
41.82,72.06,3,6.89
33.05,286.55,5,4.48
23.46,132.4,0,3.47
49.64,280.89,3,9.32
10.06,385.6,0,1.13
27.25,125.33,3,5.86
34.33,300.43,3,6.8
48.32,330.51,3,9.1
29.74,338.7,0,5.8
43.81,26.79,3,7.25
34.21,184.82,5,4.47
35.44,67.47,3,6.56
45.28,355.73,1,6.16
14.91,125.5,3,3.71
25.35,38.81,3,5.44
34.73,256.87,1,4.64
12.68,50.14,1,1.6
44.15,237.8,0,7.59
14.82,70.21,1,1.92
30.15,343.45,5,4.27
29.41,308.4,0,5.62
32.59,104.9,0,6.41
36.75,280.09,5,5.03
18.32,103.04,1,2.47
12.32,67.79,3,3.67
35.38,55.42,3,6.64
24.66,335.5,3,5.69
40.34,309.39,1,5.24
10.61,69.9,0,1.24
30.51,28.85,3,6.36
40.57,161.12,3,6.8
37.33,293.43,5,5.15
28.18,331.47,3,6.41
22.53,142.43,1,2.78
16.86,89.34,1,2.1
47.4,375.61,1,6.81
23.79,154.25,1,3.11
19.07,165.58,3,4.25
25.03,377.44,5,3.44
17.01,53.3,0,1.56
32.15,58.94,3,6.36
16.78,109.88,3,4.15
12.21,339.06,3,3.74
22.23,324.78,5,3.15
23.42,322.16,3,5.38
22.33,47.9,5,2.87
42.4,328.71,1,5.71
12.76,136.9,0,1.24
44.88,351.98,1,6.34
45.48,383.25,5,5.7
43.82,266.85,3,7.37
24.72,378.71,3,5.85
22.29,144.3,0,2.99
32.03,388.41,5,4.23
33.37,108.3,3,6.53
22.35,140.75,1,2.92
48.89,331.14,3,9.2
34.15,192.21,5,4.53
12.03,265.96,3,3.85
23.09,109.4,0,3.29
34.27,323.05,5,4.85
44.04,57.53,3,7.42
46.99,314.05,3,8.35
48.05,202.2,0,7.94
14.18,392.8,0,1.22
18.46,243.1,0,1.67
17.08,91.41,1,2.18
13.94,361.42,5,2.56
44.18,345.41,1,6.03
38.87,233.5,0,7.03
45.22,355.17,1,6.47
34.3,54.48,3,6.73
27.56,342.2,0,5.01
40.78,93.04,5,5.19
20.97,220.12,5,2.91
42.26,224.86,5,5.56
34.55,255.18,1,4.44
14.12,359.96,3,3.8
34.25,252.36,1,4.35
27.71,191.02,1,3.84
15.38,263.1,0,1.72
15.96,319.4,0,1.64
10.52,99.88,5,1.93
11.66,221.3,0,1.03
40.2,334.0,0,7.05
12.73,186.57,3,3.87
25.14,309.72,3,5.69
46.67,127.27,3,8.32
15.73,85.5,0,1.75
14.07,162.72,3,3.88
34.66,180.49,3,6.52
47.52,228.34,5,5.67
36.52,371.8,3,7.04
6.4,68.1,0,0.81
47.32,348.56,3,8.5
38.29,203.7,0,6.84
34.15,251.43,1,4.35
3.13,224.4,0,0.3
26.89,107.0,0,4.8
36.5,91.66,3,6.65
42.0,324.96,1,5.43
15.11,69.2,3,3.62
33.09,163.8,0,6.16
10.11,251.2,0,0.85
26.95,398.83,5,4.09
46.37,368.06,3,8.27
12.24,46.01,1,1.65
11.28,37.01,1,1.62
19.02,234.4,5,2.8
36.79,276.19,1,4.7
21.21,171.2,0,2.57
19.76,381.4,5,3.08
44.82,288.1,0,7.62
32.32,369.6,0,6.26
13.37,225.04,3,3.95
42.58,61.25,5,5.3
27.35,187.64,1,3.64
13.71,232.66,3,3.66
6.7,205.0,0,0.56
43.08,56.53,3,7.24
13.85,157.61,3,3.74
47.77,374.9,0,7.64
2.28,206.8,0,0.06
40.18,307.89,1,5.05
39.93,305.64,1,5.2
14.18,64.21,1,2.25
27.25,186.71,1,3.74
44.9,181.06,5,5.36
48.58,386.68,1,7.25
48.52,156.9,0,7.71
34.75,257.05,1,4.42
13.6,351.25,3,4.0
39.67,56.1,0,7.14
36.51,273.56,1,4.45
38.69,294.01,1,4.85
37.13,362.76,5,5.15
22.05,91.38,5,2.95
30.59,335.3,0,6.05
5.85,212.0,0,0.57
28.55,308.74,3,6.29
24.79,113.2,0,4.01
33.32,211.0,0,6.2
33.55,65.12,5,4.36
48.24,353.74,5,5.9
34.83,316.22,5,4.81
11.11,130.02,3,3.71
21.64,310.65,3,4.95
42.86,220.36,5,5.47
32.87,239.42,1,4.3
39.34,390.5,0,6.8
37.92,250.2,0,6.76
41.6,266.9,0,7.17
37.18,79.39,3,6.69
44.5,284.56,5,5.47
21.37,131.55,1,2.52
42.68,105.53,3,7.22
24.26,232.5,0,3.87
41.06,134.43,3,6.91
33.95,388.33,5,4.84
23.59,152.38,1,3.17
38.49,394.99,5,5.33
44.07,280.7,0,7.47
38.55,381.93,5,5.31
14.58,67.96,1,1.97
17.02,90.85,1,2.32
12.6,49.39,1,1.53
41.84,323.46,1,5.17
26.22,28.27,3,5.46
19.44,41.18,5,2.36
20.69,125.18,1,2.54
24.19,370.52,3,5.42
20.06,159.1,0,2.1
35.67,325.5,0,6.38
29.43,207.15,1,3.85
23.85,215.35,5,3.13
28.31,188.55,5,3.82
0.38,29.6,0,0.18
24.74,51.11,3,5.42
17.32,93.66,1,2.23
14.26,109.1,5,2.34
30.75,219.53,1,3.93
16.38,84.84,1,2.09
11.48,290.07,5,2.05
34.64,117.6,0,6.55
46.88,71.38,3,8.26
23.64,182.4,0,3.45
24.95,165.13,1,3.17
20.81,382.77,5,3.12
30.99,221.79,1,4.24
13.2,55.02,1,1.65
22.39,305.6,5,3.17
42.69,102.98,3,7.29
37.39,114.08,5,4.87
34.33,55.89,5,4.4
21.01,224.0,0,2.29
28.91,29.12,5,3.58
45.37,234.04,3,8.01
48.04,26.96,5,5.28
18.98,327.5,0,1.73
39.02,164.37,3,6.71
36.63,294.7,5,5.18
8.35,229.0,0,0.95
30.61,218.22,1,4.04
47.17,288.39,3,8.31
28.04,145.9,0,5.16
37.27,261.84,5,5.01
32.35,240.32,3,6.76
24.09,162.8,0,3.79
14.32,147.02,5,2.25
32.33,59.31,5,4.43
25.37,153.28,5,3.31
34.95,258.93,1,4.42
31.41,136.12,5,4.14
43.38,347.66,3,7.68
11.54,52.77,5,2.02
41.6,147.33,3,6.95
39.57,202.56,3,7.11
39.58,33.19,3,6.87
8.55,117.6,0,0.79
18.54,105.1,1,2.41
14.98,377.8,0,1.37
23.33,117.23,5,3.04
41.7,322.15,1,5.47
48.2,80.83,5,5.39
13.74,60.08,1,1.8
23.31,82.32,5,3.03
11.13,205.25,3,3.88
47.36,393.62,3,8.52
17.18,104.7,0,1.81
17.08,201.9,0,1.55
46.28,32.85,5,5.39
40.17,268.6,0,6.92
36.93,120.35,3,6.91
34.63,111.23,5,4.44
43.68,362.17,3,7.62
27.67,190.65,1,3.75
10.5,29.69,1,1.47
21.27,30.45,5,2.67
48.5,322.82,5,5.85
19.0,109.42,1,2.38
48.61,100.07,3,8.65
21.03,344.57,5,3.0
43.27,137.5,0,7.18
35.55,395.0,5,5.06
11.03,277.1,0,0.92
21.73,134.93,1,2.71
18.4,103.79,1,2.53
16.96,90.28,1,2.09
14.8,70.02,1,1.85
26.79,182.39,1,3.5
36.69,115.29,3,6.9
16.24,34.51,5,2.4
21.59,191.11,3,4.74
14.75,365.0,3,3.91
41.54,320.65,1,5.22
33.95,249.55,1,4.45
27.01,275.05,3,6.09
35.21,206.81,3,6.74
19.06,364.88,5,2.9
15.9,80.34,1,1.98
35.09,282.09,5,4.95
14.48,177.4,0,1.34
49.37,361.3,0,7.76
47.82,379.55,1,7.01
41.74,360.74,3,7.39
20.99,143.3,0,2.23
46.66,368.67,1,6.76
48.52,386.12,1,7.04
8.05,368.2,0,0.71
42.82,227.48,5,5.48
12.88,177.2,0,1.36
17.48,95.16,1,2.44
24.88,211.12,3,5.61
47.58,136.58,5,5.26
22.21,39.74,5,2.9
33.51,227.49,5,4.52
29.01,250.19,5,3.93
38.13,288.76,1,4.67
16.53,273.7,0,1.78
43.34,160.88,3,7.45
31.77,396.69,5,4.46
47.12,246.34,3,8.46
20.64,378.8,0,2.07
16.74,88.22,1,2.11
17.56,330.43,5,2.94
36.89,303.51,5,5.2
32.62,79.93,3,6.6
25.55,170.76,1,3.31
37.37,90.19,3,6.55
33.69,149.33,3,6.62
15.74,78.84,1,2.09
8.23,93.9,0,0.78
44.95,103.8,0,7.43
10.9,273.45,5,2.19
19.26,111.86,1,2.44
31.23,111.1,3,6.23
32.98,247.77,3,6.78
23.07,304.54,5,3.13
12.12,44.88,1,1.82
43.6,339.97,1,5.86
16.54,31.87,3,3.68
49.06,249.33,5,5.48
12.48,172.6,0,1.24
11.18,396.8,0,0.99
11.52,39.26,1,1.58
34.07,250.68,1,4.46
10.33,40.15,3,3.89
13.21,296.2,0,1.49
42.13,377.98,3,7.53
7.15,302.7,0,0.78
30.7,108.27,3,6.27
35.37,250.01,5,4.76
16.48,383.07,5,2.62
22.19,385.9,0,2.99
10.46,165.5,0,1.24
38.64,344.4,0,6.68
23.06,80.88,3,5.1
45.41,242.67,3,7.85
34.63,162.01,3,6.62
38.11,288.57,1,4.74
13.82,361.46,5,2.62
25.15,167.01,1,3.29
15.58,323.42,5,2.56
26.03,175.26,1,3.35
24.7,395.99,3,5.77
7.3,287.4,0,0.71
28.81,201.34,1,3.69
15.44,350.15,5,2.73
25.71,365.67,5,3.76
25.31,336.6,0,4.15
12.59,196.92,3,3.6
33.25,150.67,5,4.28
18.58,278.45,3,4.58
7.53,147.6,0,0.9
3.3,89.0,0,0.44
14.78,64.0,0,1.31
30.31,371.97,5,4.28
33.42,164.5,0,6.43
49.86,253.83,5,5.7
39.44,228.47,3,7.06
39.22,394.0,0,6.81
31.39,225.54,1,4.17
18.36,369.6,0,1.7
22.96,236.55,3,5.39
30.05,352.35,5,4.21
19.59,125.83,3,4.53
39.69,146.72,5,5.34
22.81,158.0,0,3.0
47.39,303.45,3,8.41
44.22,369.13,3,7.74
26.04,201.0,0,4.25
10.43,112.88,3,3.57
45.46,357.42,1,6.3
23.95,242.96,5,3.16
26.99,216.7,0,4.94
27.85,336.33,5,4.0
32.63,210.13,3,6.76
47.24,310.4,3,8.34
39.64,179.3,3,7.13
19.51,266.0,0,1.93
22.06,291.9,0,2.88
42.2,227.5,5,5.45
27.47,178.28,5,3.6
17.6,96.29,1,2.15
43.3,397.06,5,5.81
19.36,29.1,0,1.98
40.96,315.21,1,5.27
6.08,344.1,0,0.43
35.53,264.37,1,4.79
13.86,262.41,5,2.3
23.01,307.6,0,3.4
40.37,321.31,3,7.14
42.42,328.9,1,5.62
28.69,393.07,3,6.48
19.86,91.91,3,4.55
32.07,245.3,0,6.36
47.46,214.69,5,5.48
28.25,196.09,1,3.76
33.13,84.48,5,4.26
21.69,32.1,0,2.6
33.93,390.06,5,4.78
41.9,324.02,1,5.24
27.49,188.96,1,3.62
20.33,121.8,1,2.6
18.99,364.54,3,4.64
24.25,158.57,1,3.08
12.72,50.51,1,1.62
21.44,339.1,0,2.77
34.21,388.65,3,6.7
41.2,362.51,5,5.59
49.28,168.94,5,5.55
35.43,347.55,5,5.01
41.75,304.2,0,7.12
17.96,306.58,5,2.71
38.01,134.47,3,6.85
32.31,109.78,3,6.53
38.02,143.89,3,6.7
30.74,47.1,0,6.21
22.19,139.24,1,2.98
30.65,186.68,3,6.39
13.34,56.33,1,1.96
8.48,322.8,0,0.95
26.85,182.95,1,3.41
14.73,234.29,3,3.77
29.49,174.84,3,6.26
32.69,237.73,1,4.24
38.91,91.43,5,5.08
5.9,190.9,0,0.55
50.0,400.0,1,7.43
36.75,275.81,1,4.65
33.35,128.95,3,6.61
38.81,295.14,1,4.95
15.56,288.24,5,2.56
33.63,25.13,3,6.44
25.95,112.81,3,5.71
35.05,161.73,3,6.52
45.59,113.49,3,7.69
4.68,360.3,0,0.5
36.89,100.5,3,6.86
36.74,132.21,3,6.85
44.16,345.22,1,6.23
22.74,143.6,0,3.04
6.33,271.7,0,0.64
36.02,358.5,0,6.52
44.02,299.1,0,7.33
37.72,38.13,3,6.53
15.28,25.39,3,3.58
47.19,262.69,3,8.47
25.07,166.26,1,3.37
27.21,147.0,0,4.77
47.56,377.11,1,6.87
41.08,356.58,5,5.53
26.51,179.76,1,3.62
30.26,218.07,3,6.5
33.15,355.33,5,4.86
28.38,364.41,3,6.43
23.64,95.01,3,5.28
44.5,354.21,3,7.76
32.91,239.79,1,4.29
10.48,29.5,1,1.4
48.11,215.38,3,8.85
43.54,339.41,1,6.01
25.29,168.32,1,3.41
31.73,301.83,3,6.81
47.62,222.7,0,7.79
38.57,194.4,0,6.85
13.48,302.1,0,1.39
35.19,261.18,1,4.51
15.58,313.8,0,1.43
39.51,275.35,5,5.5
13.12,223.31,3,3.95
19.8,195.87,5,2.71
20.31,148.9,0,1.98
28.36,391.6,0,5.15
10.34,28.19,1,1.47
20.41,231.2,0,2.04
31.35,225.16,1,4.25
14.22,284.46,5,2.58
10.8,32.5,1,1.56
35.98,279.73,3,7.0
16.27,336.02,3,3.98
31.47,226.29,1,4.02
12.71,114.3,0,1.09
45.63,309.43,3,8.06
32.77,205.22,5,4.48
39.66,331.73,3,7.22
24.75,343.44,3,5.49
31.17,204.95,5,4.25
20.91,108.89,3,4.69
38.49,50.0,0,6.65
22.37,327.33,5,3.22
20.75,117.76,5,2.69
24.33,159.32,1,3.16
39.03,256.69,5,5.52
21.84,52.54,3,4.85
42.5,76.12,3,7.14
20.9,323.98,3,4.95
10.76,247.1,0,1.01
41.22,229.76,3,7.14
40.36,361.76,5,5.67
4.58,66.7,0,0.43
14.72,130.29,5,2.13
39.19,298.7,1,4.99
26.86,136.79,3,5.8
12.04,44.13,1,1.59
36.64,236.6,0,6.51
49.05,291.1,0,7.98
26.54,338.5,0,4.73
11.42,99.52,5,2.25
24.37,71.61,5,3.11
26.38,374.3,3,6.01
27.07,185.02,1,3.68
19.78,116.73,1,2.56
13.14,54.45,1,1.79
10.69,42.43,3,3.86
42.08,158.12,5,5.32
42.18,112.64,5,5.38
12.12,225.65,3,3.67
31.41,225.73,1,4.14
31.17,381.78,3,6.61
31.19,396.25,3,6.79
43.88,79.89,5,5.19
29.87,246.34,5,3.99
21.93,275.33,5,3.03
21.86,131.9,0,2.57
26.35,174.63,5,3.61
17.9,99.1,1,2.22
47.72,228.57,3,8.58
15.82,80.81,3,3.64
40.46,156.86,5,5.36
22.36,142.8,0,3.02
31.18,312.7,3,6.59
47.08,218.34,3,8.35
29.05,90.76,5,3.65
21.17,308.18,5,3.03
14.02,56.55,5,2.26
43.6,288.1,0,7.31
22.98,282.09,3,5.36
26.51,59.79,3,5.85
49.36,352.44,3,9.49
41.24,297.25,3,7.13
27.65,190.46,1,3.6
38.78,115.41,3,6.74
27.79,191.77,1,3.78
29.97,328.38,3,6.43
39.04,387.8,0,6.78
31.84,383.3,0,6.04
42.3,99.34,3,7.15
14.02,62.71,1,1.9
14.76,356.28,3,4.03
38.83,295.32,1,5.0
36.17,152.29,5,4.94
37.9,334.69,3,6.94
36.88,86.34,3,6.59
31.71,200.28,5,4.31
12.78,389.42,5,2.38
12.49,213.55,3,3.79
13.28,58.86,5,2.26
16.78,163.9,0,1.76
11.06,182.6,0,1.04
48.96,390.25,1,7.24
28.42,133.63,3,6.21
29.99,212.41,1,4.06
15.51,216.46,3,3.78
11.06,34.94,1,1.58
47.85,397.1,0,7.92
8.8,280.9,0,1.01
15.56,33.4,0,1.71
4.78,225.5,0,0.65
12.66,151.61,5,2.28
44.76,97.98,5,5.25
35.43,263.43,1,4.6
13.41,234.59,3,3.86
23.85,154.81,1,2.97
12.67,359.43,3,3.95
39.81,67.87,3,6.69
44.0,342.1,0,7.54
33.57,217.69,3,6.48
31.32,302.7,0,6.3
10.16,250.42,5,2.14
30.97,254.83,3,6.4
10.32,135.58,3,3.97
24.63,330.47,5,3.37
24.51,308.39,3,5.55
42.27,248.7,0,7.3
45.93,251.14,3,8.19
46.98,371.67,1,6.84
10.36,322.9,0,0.86
14.38,95.8,0,1.39
34.65,104.91,5,4.56
47.89,388.55,3,8.69
40.82,225.41,3,7.0
46.38,366.05,1,6.57
6.25,52.8,0,0.77
29.21,119.0,0,5.66
27.46,295.04,3,6.14
19.27,327.96,3,4.62
17.56,95.91,1,2.45
19.21,331.1,0,2.11
26.37,73.2,3,5.58
36.66,182.73,3,6.94
13.68,267.64,3,4.05
35.95,268.31,1,4.57
24.09,157.07,1,2.96
24.97,364.93,5,3.49
16.33,235.7,0,1.73
42.86,333.03,1,5.71
44.87,245.5,0,7.3
44.58,330.24,5,5.65
28.34,163.5,0,5.38
23.33,149.94,1,2.97
25.17,223.29,3,5.73
46.91,44.5,3,8.18
41.66,321.77,1,5.31
47.94,255.99,5,5.54
22.56,319.65,3,5.28
33.31,243.55,1,4.58
27.67,64.04,5,3.67
48.8,279.8,0,7.83
23.79,117.1,0,3.48
29.59,208.65,1,4.01
41.8,152.14,3,7.3
11.53,309.99,3,3.69
47.04,372.24,1,6.94
49.56,186.12,5,5.6
3.38,385.7,0,0.45
31.87,135.5,0,6.28
18.14,101.35,1,2.28
11.0,388.59,5,2.43
47.6,255.63,3,8.61
20.96,27.7,0,2.49
32.79,247.15,5,4.54
42.9,350.3,0,7.3
26.79,262.1,5,3.65
20.46,80.8,0,2.18
13.81,273.7,0,1.5
21.04,174.1,0,2.22
17.44,60.42,5,2.56
16.1,390.94,5,2.71
45.67,92.3,0,7.58
35.96,46.18,3,6.44
43.44,354.24,5,5.59
24.99,165.51,1,3.11
12.61,75.8,0,1.37
31.47,352.04,3,6.71
23.81,154.44,1,3.03
42.35,278.8,0,7.14
49.4,99.8,0,7.83
21.95,89.62,5,2.76
44.45,305.9,0,7.35
39.26,161.76,3,6.84
38.67,293.82,1,4.81
12.58,49.2,1,1.63
17.43,304.67,3,4.14
39.63,302.83,1,4.93
19.46,359.18,5,3.01
26.1,273.99,3,6.03
23.39,150.5,1,3.12
27.63,190.27,1,3.59
30.14,370.64,3,6.57
21.14,172.8,0,2.47
18.71,352.8,0,2.05
38.01,287.63,1,4.7
5.68,305.7,0,0.62
16.16,109.0,0,1.71
43.96,343.35,1,5.92
44.04,344.1,1,6.06
13.55,342.08,3,3.77
25.21,50.09,3,5.42
4.45,53.2,0,0.64
49.4,394.37,1,7.46
18.66,397.8,0,1.74
35.46,202.16,3,6.75
27.59,189.89,1,3.76
45.48,285.61,3,7.92
18.75,135.46,3,4.22
48.84,389.12,1,7.17
35.97,268.5,1,4.62
23.31,70.98,3,5.22
27.73,269.78,5,3.86
47.8,374.39,3,8.76
34.99,256.24,5,4.63
26.5,70.98,3,5.84
32.85,279.26,5,4.5
37.37,281.63,1,4.69
19.48,222.89,5,2.88
12.14,45.07,1,1.65
39.16,285.91,3,7.1
25.13,397.61,3,5.89
10.4,28.75,1,1.59
27.38,268.31,3,5.89
31.7,371.83,3,6.75
36.45,273.0,1,4.64
30.3,206.35,3,6.59
46.54,40.73,5,5.2
14.77,320.79,3,3.93
11.84,247.36,3,3.82
13.99,334.47,3,3.95
30.75,226.5,3,6.68
12.3,46.57,1,1.68
15.1,156.88,3,3.67
35.05,68.99,5,4.38
22.01,137.56,1,2.88
46.85,362.4,0,7.75
25.65,119.42,5,3.41
12.24,373.64,5,2.46
24.93,164.94,1,3.26
28.25,259.06,5,3.89
45.24,355.35,1,6.38
24.03,156.5,1,3.21
35.99,289.93,5,4.99
46.29,120.35,3,8.02
35.77,92.37,3,6.66
29.29,205.84,1,3.88
6.3,305.8,0,0.66
3.9,201.9,0,0.36
29.49,273.3,0,5.62
25.79,380.23,5,3.51
20.59,313.3,0,2.04
40.54,131.83,5,5.54
22.57,142.81,1,2.89
29.26,328.1,0,5.6
29.71,193.6,0,6.07
20.62,301.37,3,4.95
42.22,206.68,3,7.23
20.47,169.11,3,4.74
4.35,221.6,0,0.27
11.64,236.56,3,3.62
38.97,379.73,3,7.11
11.56,159.42,5,2.18
10.38,134.21,5,1.93
37.25,258.61,5,5.12
33.92,243.2,0,6.35
22.14,165.42,3,4.93
40.8,55.11,3,6.78
43.8,311.8,5,5.56
16.26,210.8,0,1.56
26.77,35.72,3,5.67
36.87,53.8,0,6.68
25.71,387.6,3,5.91
41.72,229.7,0,7.29
16.66,85.7,0,1.54
15.9,302.59,3,4.25
20.13,366.6,5,2.87
28.66,145.33,3,6.3
29.43,221.89,3,6.22
30.91,221.04,1,4.18
24.06,392.96,3,5.38
37.05,189.48,5,5.05
7.28,80.7,0,0.7
20.19,297.14,5,2.77
17.88,320.0,0,1.77
19.38,72.0,0,2.06
22.39,358.23,3,5.37
48.88,389.49,1,7.19
34.39,396.46,3,6.82
49.05,179.29,3,9.23
47.16,197.7,5,5.47
30.94,213.9,0,6.14
14.06,212.5,0,1.51
27.45,266.5,5,3.63
32.01,46.69,5,4.23
36.82,266.71,3,6.96
18.46,210.41,5,2.74
48.92,389.87,1,7.19
5.88,238.1,0,0.77
44.76,98.59,3,7.49
7.0,210.1,0,0.68
48.62,75.2,0,8.06
18.08,145.02,5,2.5
40.56,311.46,1,5.29
10.08,184.16,3,3.92
49.75,165.3,3,9.45
9.43,235.8,0,1.0
44.77,150.5,0,7.62
35.92,268.74,3,6.76
29.69,209.59,1,3.95
31.81,139.11,3,6.5
25.22,319.43,3,5.8
20.33,166.17,5,2.78
35.79,266.81,1,4.36
37.61,205.2,3,6.89
3.75,225.9,0,0.39
13.52,58.02,1,1.79
34.85,257.99,1,4.43
44.58,349.16,1,6.18
39.9,313.95,3,7.09
29.66,231.52,3,6.4
42.44,47.55,5,5.13
35.2,332.21,3,6.67
11.28,86.9,0,0.99
12.88,131.82,5,2.25
33.81,248.24,1,4.39
18.03,257.6,0,1.67
36.96,253.51,3,6.8
25.91,250.5,0,4.34
35.73,57.95,5,4.48
49.92,399.25,1,7.59
20.69,313.37,5,2.87
45.45,95.39,3,7.95
25.07,278.47,3,5.78
28.33,196.84,1,3.81
34.26,40.01,3,6.51
30.29,215.22,1,4.2
33.37,332.7,0,6.53
42.84,340.76,5,5.75
29.01,357.3,0,5.62
42.15,370.0,0,7.2
26.49,389.45,3,5.88
19.84,117.3,1,2.49
47.06,348.01,5,5.54
34.75,304.76,3,6.83
40.44,393.9,3,7.3
21.69,262.53,5,3.03
37.69,271.28,5,5.25
27.74,124.9,0,4.93
23.87,155.0,1,3.14
14.32,65.52,1,1.8
10.93,367.0,0,0.96
15.15,381.78,3,4.06
